step,volume_mL,F1_Hz,F1_BW,F2_Hz,F2_BW,F3_Hz,F3_BW,F4_Hz,F4_BW,F5_Hz,F5_BW,F6_Hz,F6_BW
0,0,989,70,1763,91,2254,103,3122,275,3657,240,4482,108
1,10,1050,56,1780,231,,,,,,,,
2,20,1074,38,1820,193,2711,340,3766,308,,,,
3,30,1150,56,2901,296,3438,290,,,,,,
4,40,1213,97,2262,278,3006,308,3709,190,4554,185,,
5,50,613,193,1297,64,2262,170,3011,211,3759,205,4637,284
6,60,1356,70,2349,176,3007,205,3808,196,,,,
7,70,615,138,1425,56,2243,387,3042,234,3858,182,4901,299
8,80,615,149,1495,100,2842,340,3769,349,,,,
9,90,1551,120,2958,346,3704,325,,,,,,
10,100,1619,161,3549,322,,,,,,,,
11,110,1650,126,3758,223,4499,214,5281,313,,,,
12,120,1683,144,3783,185,4556,223,,,,,,
