"# 2026-07-23 벌어진 컵 3D프린터(10, 1.5, 3.5)"
"# 참값: H=100mm, 입구반지름=35mm, 부피=207mL (원뿔대 기준)"
"# 측정: 스텝 13개, 누적 주입 120mL, 원본 v2_infer_20260723_163402.json"
모델,예측높이_mm,예측입구반지름_mm,예측부피_mL,높이오차_%,입구반지름오차_%,부피오차_%,보정적용
★전문가결합(H=nodetach_bestH + r=uni),181.5,18.8,152.0,81.5,46.4,26.5,O
base_ratio.pt,195.6,10.3,87.0,95.6,70.7,57.7,X
base_ratio_smoke.pt,140.9,25.4,394.0,40.9,27.4,90.7,O
base_ratio_smoke_bestH.pt,67.2,36.1,294.0,32.8,3.1,42.1,X
base_ratio_v2.pt,189.3,11.3,93.0,89.3,67.7,54.9,O
rnn_continuity.pt,206.1,21.9,202.0,106.1,37.4,2.2,O
rnn_continuity_bestH.pt,116.0,10.0,127.0,16.0,71.3,38.6,X
rnn_d128_reg.pt,124.0,6.8,74.0,24.0,80.7,64.4,O
rnn_d128_reg_bestH.pt,119.6,6.3,72.0,19.6,81.9,65.0,X
rnn_nodetach_d128.pt,148.0,7.3,86.0,48.0,79.1,58.6,X
rnn_nodetach_d128_bestH.pt,148.0,7.3,86.0,48.0,79.1,58.6,X
rnn_ratio.pt,157.9,10.5,122.0,57.9,70.0,41.0,O
rnn_ratio_bestH.pt,155.3,10.5,122.0,55.3,70.0,41.0,X
rnn_ratio_nodetach.pt,174.7,11.9,92.0,74.7,65.9,55.7,X
rnn_ratio_nodetach_bestH.pt,181.5,11.6,96.0,81.5,66.8,53.7,O
rnn_ratio_v2a.pt,136.5,10.0,55.0,36.5,71.3,73.2,X
rnn_ratio_v2a_bestH.pt,136.5,10.0,55.0,36.5,71.3,73.2,X
rnn_reg.pt,173.2,9.3,99.0,73.2,73.3,52.2,O
rnn_reg_bestH.pt,199.0,10.8,59.0,99.0,69.1,71.3,X
rnn_rev.pt,167.0,22.3,153.0,67.0,36.4,25.8,O
rnn_rev_bestH.pt,161.8,22.3,153.0,61.8,36.4,25.8,X
rnn_uni.pt,139.5,14.2,105.0,39.5,59.3,49.3,O
rnn_uni_bestH.pt,208.6,19.0,178.0,108.6,45.8,14.1,X
rnn_uni_cont.pt,176.2,17.9,140.0,76.2,48.8,32.5,O
rnn_uni_cont_bestH.pt,157.2,18.5,137.0,57.2,47.1,34.0,X
set_reg.pt,193.4,9.7,63.0,93.4,72.3,69.4,O
set_reg_bestH.pt,170.9,9.9,57.0,70.9,71.7,72.6,X
