"# 2026-07-23 벌어진 컵 3D프린터(10, 1.5, 3.5) — 슬롯별 예측 반지름(mm). 유효 슬롯 수는 모델별 예측높이/10mm 올림. 그 아래 행은 참고용."
슬롯,z구간_mm,★전문가결합(H=nodetach_bestH + r=uni),base_ratio.pt,base_ratio_smoke.pt,base_ratio_smoke_bestH.pt,base_ratio_v2.pt,rnn_continuity.pt,rnn_continuity_bestH.pt,rnn_d128_reg.pt,rnn_d128_reg_bestH.pt,rnn_nodetach_d128.pt,rnn_nodetach_d128_bestH.pt,rnn_ratio.pt,rnn_ratio_bestH.pt,rnn_ratio_nodetach.pt,rnn_ratio_nodetach_bestH.pt,rnn_ratio_v2a.pt,rnn_ratio_v2a_bestH.pt,rnn_reg.pt,rnn_reg_bestH.pt,rnn_rev.pt,rnn_rev_bestH.pt,rnn_uni.pt,rnn_uni_bestH.pt,rnn_uni_cont.pt,rnn_uni_cont_bestH.pt,set_reg.pt,set_reg_bestH.pt
0,0~10,24.57,19.09,30.59,30.59,16.43,30.97,28.74,21.35,21.35,16.49,16.49,28.46,28.46,19.96,19.96,16.6,16.6,17.48,20.1,21.44,21.44,24.57,31.6,26.52,28.27,12.73,12.73
1,10~20,22.61,19.15,45.21,45.21,15.43,28.38,27.18,20.59,20.59,17.35,17.35,26.17,26.17,18.97,18.97,15.35,15.35,15.82,18.6,19.23,19.23,22.61,30.13,24.5,25.47,11.24,11.24
2,20~30,20.72,16.91,31.07,31.07,15.22,25.24,24.94,19.6,19.6,15.83,15.83,24.13,24.13,17.91,17.91,13.65,13.65,15.31,16.23,17.98,17.98,20.72,26.54,21.4,20.85,11.81,11.81
3,30~40,17.87,15.12,43.9,43.9,15.43,20.8,22.07,18.14,18.14,16.28,16.28,19.99,19.99,15.73,15.73,11.97,11.97,16.32,13.76,16.71,16.71,17.87,22.28,18.13,17.86,11.61,11.61
4,40~50,14.4,13.64,29.83,29.83,14.47,16.81,17.1,16.23,16.23,15.64,15.64,18.44,18.44,15.35,15.35,10.23,10.23,15.17,10.1,16.16,16.16,14.4,17.44,13.69,15.66,10.37,10.37
5,50~60,11.83,12.64,35.9,35.9,13.47,14.44,16.48,13.31,13.31,15.31,15.31,15.87,15.87,13.97,13.97,10.41,10.41,13.87,7.18,15.9,15.9,11.83,12.36,11.86,13.66,10.37,10.37
6,60~70,10.7,11.15,36.09,36.09,12.12,13.67,14.93,9.99,9.99,14.0,14.0,12.32,12.32,11.9,11.9,9.8,9.8,14.56,5.68,15.52,15.52,10.7,8.05,9.95,12.62,9.85,9.85
7,70~80,9.05,10.46,20.04,20.04,11.65,11.72,12.01,6.87,6.87,14.23,14.23,9.75,9.75,9.8,9.8,9.52,9.52,13.95,4.14,14.15,14.15,9.05,6.55,9.45,11.78,9.46,9.46
8,80~90,10.04,10.34,19.85,19.85,10.68,10.48,11.14,5.65,5.65,13.41,13.41,8.13,8.13,9.28,9.28,9.12,9.12,12.9,2.37,12.92,12.92,10.04,5.2,8.46,11.3,9.61,9.61
9,90~100,11.02,9.28,21.38,21.38,10.54,9.66,10.61,5.28,5.28,11.46,11.46,7.41,7.41,8.96,8.96,8.79,8.79,12.49,2.23,11.56,11.56,11.02,4.11,8.57,10.31,9.93,9.93
