step,volume_mL,F1_Hz,F1_BW,F2_Hz,F2_BW,F3_Hz,F3_BW,F4_Hz,F4_BW,F5_Hz,F5_BW,F6_Hz,F6_BW
0,0,592,23,2580,176,3356,120,4504,272,,,,
1,10,582,73,1503,296,2578,220,3780,267,4581,108,,
2,20,601,21,1600,155,2656,152,,,,,,
3,30,592,18,1612,164,2673,179,3829,152,4650,185,,
4,40,623,35,1690,126,2632,108,4386,103,,,,
5,50,631,38,1721,117,3783,296,4599,91,,,,
6,60,608,38,1640,146,2639,117,3830,149,4760,176,,
7,70,651,56,1785,82,2982,249,3839,346,4810,190,5467,179
8,80,644,56,1809,85,2985,199,3755,293,4665,299,,
9,90,670,120,1834,105,3046,196,3794,328,,,,
10,100,657,76,1854,199,3087,135,3763,214,,,,
11,110,634,85,1894,155,3126,284,3708,100,,,,
12,120,690,167,1889,173,3089,211,4691,287,,,,
13,130,640,59,1886,188,3112,267,3729,217,4587,287,,
14,140,686,88,1886,205,3138,293,3773,176,4649,261,,
15,150,756,85,1896,190,3194,278,3789,173,4695,255,,
16,160,774,73,1906,173,3215,275,3804,161,4737,149,5371,246
17,170,800,79,1920,167,3266,308,3814,158,4770,141,5434,199
18,180,814,67,1926,120,2425,161,5421,337,,,,
19,190,834,76,1931,164,2469,164,3849,158,4834,193,,
20,200,859,82,1928,217,3860,190,4804,190,,,,
21,210,903,117,1915,267,2576,188,3438,88,,,,
22,220,908,117,1918,229,2569,252,,,,,,
23,230,935,94,1928,325,2620,220,3796,340,,,,
24,240,980,82,1974,270,2693,231,3792,363,,,,
25,250,984,50,1927,234,2678,308,3732,226,,,,
26,260,1021,82,1923,176,3798,138,4544,255,,,,
27,270,1048,62,1936,182,3811,135,4609,146,,,,
28,280,1063,73,1945,226,2597,167,3808,190,4592,208,,
29,290,1110,91,1989,270,3066,334,3775,234,4676,190,,
30,300,1165,91,2004,226,,,,,,,,
31,310,1166,79,2019,255,3053,231,4715,202,5472,155,,
32,320,1184,111,3095,354,3776,354,4714,135,,,,
33,330,1239,73,3102,267,3772,226,4793,164,,,,
34,340,1263,82,3109,363,3808,170,4828,155,,,,
35,350,1293,94,3828,199,4878,158,,,,,,
36,360,1332,111,3075,302,3854,369,4849,322,,,,
37,370,1356,129,3813,299,,,,,,,,
38,380,1357,188,3798,325,,,,,,,,
39,390,1414,234,3845,176,,,,,,,,
