"# 2026-07-23 벌어진 컵 유리(14.4, 2.5, 4.2)"
"# 참값: H=144mm, 입구반지름=42mm, 부피=519mL (원뿔대 기준)"
"# 측정: 스텝 40개, 누적 주입 390mL, 원본 v2_infer_20260723_184203.json"
모델,예측높이_mm,예측입구반지름_mm,예측부피_mL,높이오차_%,입구반지름오차_%,부피오차_%,보정적용
★전문가결합(H=nodetach_bestH + r=uni),224.2,21.8,393.0,55.7,48.1,24.2,O
base_ratio.pt,223.4,12.7,214.0,55.1,69.7,58.8,X
base_ratio_smoke.pt,152.1,28.0,445.0,5.7,33.4,14.1,O
base_ratio_smoke_bestH.pt,68.5,37.3,314.0,52.4,11.1,39.4,X
base_ratio_v2.pt,230.6,16.8,217.0,60.1,59.9,58.1,O
rnn_continuity.pt,217.5,14.6,346.0,51.1,65.2,33.4,O
rnn_continuity_bestH.pt,142.9,8.6,300.0,0.8,79.4,42.1,X
rnn_d128_reg.pt,122.7,15.0,273.0,14.8,64.3,47.4,O
rnn_d128_reg_bestH.pt,118.5,15.4,266.0,17.7,63.4,48.8,X
rnn_nodetach_d128.pt,188.1,10.8,174.0,30.6,74.4,66.5,X
rnn_nodetach_d128_bestH.pt,188.1,10.8,174.0,30.6,74.4,66.5,X
rnn_ratio.pt,179.6,13.3,380.0,24.7,68.4,26.7,O
rnn_ratio_bestH.pt,175.6,13.3,380.0,21.9,68.4,26.7,X
rnn_ratio_nodetach.pt,214.3,12.5,277.0,48.8,70.2,46.6,X
rnn_ratio_nodetach_bestH.pt,224.2,12.0,281.0,55.7,71.4,45.7,O
rnn_ratio_v2a.pt,157.6,14.6,303.0,9.4,65.2,41.7,X
rnn_ratio_v2a_bestH.pt,157.6,14.6,303.0,9.4,65.2,41.7,X
rnn_reg.pt,214.0,9.8,337.0,48.6,76.6,35.1,O
rnn_reg_bestH.pt,209.1,11.2,206.0,45.2,73.4,60.3,X
rnn_rev.pt,169.5,14.2,247.0,17.7,66.2,52.3,O
rnn_rev_bestH.pt,164.2,14.2,247.0,14.0,66.2,52.3,X
rnn_uni.pt,190.7,22.1,347.0,32.4,47.5,33.0,O
rnn_uni_bestH.pt,195.1,14.2,196.0,35.5,66.2,62.2,X
rnn_uni_cont.pt,189.6,17.6,316.0,31.6,58.2,39.0,O
rnn_uni_cont_bestH.pt,167.5,16.4,269.0,16.3,60.8,48.1,X
set_reg.pt,249.9,13.5,173.0,73.5,67.8,66.6,O
set_reg_bestH.pt,223.4,14.2,160.0,55.2,66.3,69.2,X
