"# 2026-07-23 벌어진 컵 유리(14.4, 2.5, 4.2) — 슬롯별 예측 반지름(mm). 유효 슬롯 수는 모델별 예측높이/10mm 올림. 그 아래 행은 참고용."
슬롯,z구간_mm,★전문가결합(H=nodetach_bestH + r=uni),base_ratio.pt,base_ratio_smoke.pt,base_ratio_smoke_bestH.pt,base_ratio_v2.pt,rnn_continuity.pt,rnn_continuity_bestH.pt,rnn_d128_reg.pt,rnn_d128_reg_bestH.pt,rnn_nodetach_d128.pt,rnn_nodetach_d128_bestH.pt,rnn_ratio.pt,rnn_ratio_bestH.pt,rnn_ratio_nodetach.pt,rnn_ratio_nodetach_bestH.pt,rnn_ratio_v2a.pt,rnn_ratio_v2a_bestH.pt,rnn_reg.pt,rnn_reg_bestH.pt,rnn_rev.pt,rnn_rev_bestH.pt,rnn_uni.pt,rnn_uni_bestH.pt,rnn_uni_cont.pt,rnn_uni_cont_bestH.pt,set_reg.pt,set_reg_bestH.pt
0,0~10,35.88,29.61,31.56,31.56,22.62,43.23,44.12,34.14,34.14,22.01,22.01,41.02,41.02,32.01,32.01,34.85,34.85,29.32,35.28,37.39,37.39,35.88,32.9,43.98,43.66,17.36,17.36
1,10~20,34.6,30.77,46.83,46.83,22.26,40.96,42.53,34.26,34.26,23.41,23.41,39.28,39.28,31.28,31.28,33.89,33.89,27.94,33.79,37.1,37.1,34.6,30.3,42.58,40.85,16.87,16.87
2,20~30,32.82,27.04,32.07,32.07,21.98,37.85,40.03,33.04,33.04,21.76,21.76,38.08,38.08,31.37,31.37,32.62,32.62,27.98,31.63,36.4,36.4,32.82,27.54,39.67,35.7,17.23,17.23
3,30~40,30.71,24.8,45.4,45.4,21.87,32.8,36.1,32.37,32.37,21.57,21.57,36.11,36.11,27.99,27.99,32.63,32.63,27.81,28.86,33.35,33.35,30.71,25.44,34.52,28.86,16.57,16.57
4,40~50,27.5,22.46,30.82,30.82,20.48,28.02,31.18,30.88,30.88,20.81,20.81,34.28,34.28,26.15,26.15,31.66,31.66,26.92,24.09,28.13,28.13,27.5,22.27,24.17,21.92,16.26,16.26
5,50~60,24.13,20.25,37.24,37.24,18.86,23.27,25.5,28.53,28.53,19.33,19.33,32.31,32.31,25.29,25.29,28.64,28.64,25.65,19.86,19.7,19.7,24.13,19.84,18.68,18.33,15.37,15.37
6,60~70,22.16,17.88,37.33,37.33,16.87,20.98,19.91,24.37,24.37,18.2,18.2,28.99,28.99,21.57,21.57,24.49,24.49,26.59,16.07,15.08,15.08,22.16,17.79,16.05,15.73,15.42,15.42
7,70~80,19.66,16.59,20.5,20.5,15.89,20.1,15.79,20.87,20.87,17.73,17.73,25.45,25.45,20.8,20.8,23.06,23.06,25.56,13.67,12.79,12.79,19.66,16.02,15.47,14.18,13.89,13.89
8,80~90,18.37,15.91,20.41,20.41,14.78,19.79,12.04,19.22,19.22,17.91,17.91,22.11,22.11,20.28,20.28,22.23,22.23,24.72,10.6,12.33,12.33,18.37,14.5,13.81,12.96,15.38,15.38
9,90~100,17.53,14.43,21.92,21.92,14.44,17.96,10.49,17.41,17.41,16.28,16.28,20.43,20.43,17.85,17.85,20.3,20.3,24.4,7.43,11.85,11.85,17.53,13.1,12.44,12.57,16.29,16.29
10,100~110,17.4,13.63,20.05,20.05,15.44,15.05,9.65,16.52,16.52,15.79,15.79,16.74,16.74,16.28,16.28,17.24,17.24,24.68,6.76,10.45,10.45,17.4,11.07,12.38,12.61,14.86,14.86
11,110~120,17.04,11.73,10.15,10.15,15.0,14.11,7.98,15.36,15.36,14.77,14.77,14.58,14.58,16.46,16.46,14.66,14.66,22.13,6.12,8.68,8.68,17.04,8.49,12.92,13.01,13.85,13.85
12,120~130,16.53,9.85,22.5,22.5,13.13,13.31,8.22,14.98,14.98,14.23,14.23,13.95,13.95,15.06,15.06,13.75,13.75,21.6,6.0,7.73,7.73,16.53,7.59,11.56,12.23,14.79,14.79
13,130~140,17.31,10.16,19.07,19.07,12.75,12.59,8.91,14.99,14.99,13.99,13.99,13.37,13.37,13.17,13.17,13.21,13.21,20.1,5.63,8.49,8.49,17.31,7.13,11.4,12.51,13.9,13.9
14,140~150,18.28,9.83,26.35,26.35,12.66,12.4,8.63,14.04,14.04,13.02,13.02,12.11,12.11,12.46,12.46,13.69,13.69,17.76,6.13,10.83,10.83,18.28,7.36,12.14,13.22,14.24,14.24
15,150~160,19.62,9.28,27.96,27.96,13.69,11.65,10.35,15.61,15.61,11.09,11.09,12.35,12.35,13.12,13.12,14.61,14.61,16.99,7.69,12.81,12.81,19.62,8.31,13.68,14.76,13.79,13.79
16,160~170,20.68,9.69,17.41,17.41,14.74,11.5,12.7,15.01,15.01,12.03,12.03,13.0,13.0,11.15,11.15,15.2,15.2,15.17,8.33,14.19,14.19,20.68,9.63,16.15,16.44,13.86,13.86
17,170~180,21.06,11.0,12.77,12.77,15.05,11.23,14.43,15.87,15.87,10.12,10.12,13.27,13.27,11.71,11.71,15.94,15.94,14.09,9.16,15.74,15.74,21.06,10.72,17.08,17.63,13.06,13.06
18,180~190,21.08,11.0,15.24,15.24,14.3,12.21,14.49,16.62,16.62,10.76,10.76,12.91,12.91,12.61,12.61,16.32,16.32,13.22,10.4,16.94,16.94,21.08,12.29,17.57,19.22,12.93,12.93
19,190~200,22.05,11.72,9.53,9.53,15.8,13.5,15.83,16.18,16.18,9.08,9.08,13.66,13.66,11.11,11.11,17.79,17.79,12.72,10.48,16.25,16.25,22.05,14.2,17.37,20.32,13.24,13.24
20,200~210,22.41,12.62,26.05,26.05,17.11,14.34,14.97,14.85,14.85,9.11,9.11,13.53,13.53,11.39,11.39,18.59,18.59,11.63,11.18,17.06,17.06,22.41,15.98,17.79,22.02,14.29,14.29
