step,volume_mL,F1_Hz,F1_BW,F2_Hz,F2_BW,F3_Hz,F3_BW,F4_Hz,F4_BW,F5_Hz,F5_BW,F6_Hz,F6_BW
0,0,711,73,1672,79,2247,173,3110,252,3756,152,5336,170
1,10,750,79,1791,126,2334,47,3798,126,5378,313,,
2,20,790,85,1770,208,2442,120,3794,316,,,,
3,30,844,82,1786,243,2596,185,,,,,,
4,40,887,117,1767,129,2679,179,3748,240,4495,322,,
5,50,956,38,1772,105,2760,91,4466,173,,,,
6,60,1006,32,1795,105,3001,196,3836,217,4586,149,5196,185
7,70,1066,18,1748,85,2262,390,3053,205,4552,220,5299,188
8,80,602,111,1129,26,3641,272,,,,,,
9,90,604,208,1204,50,3086,305,3746,208,,,,
10,100,1305,44,2245,226,2924,223,3778,331,,,,
11,110,1404,41,2322,196,,,,,,,,
12,120,1532,67,3101,284,3768,325,4507,346,,,,
13,130,1641,94,3776,290,4524,223,5249,205,,,,
14,140,1717,132,3782,193,4525,226,,,,,,
