"# 2026-07-23 일자컵 3D프린터(10, 2.5)"
"# 참값: H=100mm, 입구반지름=25mm, 부피=196mL (원통 기준)"
"# 측정: 스텝 15개, 누적 주입 140mL, 원본 v2_infer_20260723_152538.json"
모델,예측높이_mm,예측입구반지름_mm,예측부피_mL,높이오차_%,입구반지름오차_%,부피오차_%,보정적용
★전문가결합(H=nodetach_bestH + r=uni),188.2,20.0,167.0,88.2,20.0,14.9,O
base_ratio.pt,176.5,9.4,99.0,76.5,62.5,49.6,X
base_ratio_smoke.pt,143.9,25.6,400.0,43.9,2.5,103.8,O
base_ratio_smoke_bestH.pt,67.6,36.4,298.0,32.4,45.5,52.0,X
base_ratio_v2.pt,183.1,10.1,103.0,83.1,59.8,47.7,O
rnn_continuity.pt,154.5,20.6,169.0,54.5,17.5,13.7,O
rnn_continuity_bestH.pt,145.9,15.3,129.0,45.9,38.7,34.4,X
rnn_d128_reg.pt,99.4,7.2,77.0,0.6,71.0,60.7,O
rnn_d128_reg_bestH.pt,97.8,7.2,77.0,2.2,71.0,60.7,X
rnn_nodetach_d128.pt,147.4,9.9,92.0,47.4,60.5,52.9,X
rnn_nodetach_d128_bestH.pt,147.4,9.9,92.0,47.4,60.5,52.9,X
rnn_ratio.pt,168.4,17.1,131.0,68.4,31.6,33.1,O
rnn_ratio_bestH.pt,165.2,17.1,131.0,65.2,31.6,33.1,X
rnn_ratio_nodetach.pt,181.0,13.3,121.0,81.0,46.9,38.4,X
rnn_ratio_nodetach_bestH.pt,188.2,13.3,121.0,88.2,46.9,38.4,O
rnn_ratio_v2a.pt,170.4,20.1,124.0,70.4,19.6,36.8,X
rnn_ratio_v2a_bestH.pt,170.4,20.1,124.0,70.4,19.6,36.8,X
rnn_reg.pt,169.0,13.5,126.0,69.0,46.0,35.8,O
rnn_reg_bestH.pt,200.2,16.5,84.0,100.2,34.1,57.0,X
rnn_rev.pt,177.8,24.9,181.0,77.8,0.6,7.6,O
rnn_rev_bestH.pt,172.0,24.9,181.0,72.0,0.6,7.6,X
rnn_uni.pt,169.9,18.8,143.0,69.9,24.7,27.4,O
rnn_uni_bestH.pt,190.0,15.0,136.0,90.0,39.8,30.8,X
rnn_uni_cont.pt,190.1,23.4,195.0,90.1,6.3,0.8,O
rnn_uni_cont_bestH.pt,177.2,18.8,135.0,77.2,24.8,31.0,X
set_reg.pt,180.5,11.4,73.0,80.5,54.3,62.9,O
set_reg_bestH.pt,158.9,9.3,63.0,58.9,62.8,68.1,X
