"# 2026-07-23 일자컵 3D프린터(10, 2.5) — 슬롯별 예측 반지름(mm). 유효 슬롯 수는 모델별 예측높이/10mm 올림. 그 아래 행은 참고용."
슬롯,z구간_mm,★전문가결합(H=nodetach_bestH + r=uni),base_ratio.pt,base_ratio_smoke.pt,base_ratio_smoke_bestH.pt,base_ratio_v2.pt,rnn_continuity.pt,rnn_continuity_bestH.pt,rnn_d128_reg.pt,rnn_d128_reg_bestH.pt,rnn_nodetach_d128.pt,rnn_nodetach_d128_bestH.pt,rnn_ratio.pt,rnn_ratio_bestH.pt,rnn_ratio_nodetach.pt,rnn_ratio_nodetach_bestH.pt,rnn_ratio_v2a.pt,rnn_ratio_v2a_bestH.pt,rnn_reg.pt,rnn_reg_bestH.pt,rnn_rev.pt,rnn_rev_bestH.pt,rnn_uni.pt,rnn_uni_bestH.pt,rnn_uni_cont.pt,rnn_uni_cont_bestH.pt,set_reg.pt,set_reg_bestH.pt
0,0~10,23.51,20.92,30.8,30.8,18.08,23.02,18.59,21.16,21.16,16.3,16.3,20.14,20.14,21.23,21.23,13.95,13.95,17.37,21.05,26.29,26.29,23.51,24.37,22.94,24.06,13.78,13.78
1,10~20,22.09,21.2,45.62,45.62,17.14,20.43,18.11,20.27,20.27,17.07,17.07,19.26,19.26,19.59,19.59,13.49,13.49,15.93,20.0,23.44,23.44,22.09,22.09,20.54,20.59,12.23,12.23
2,20~30,20.61,19.14,31.17,31.17,16.71,16.92,17.84,19.48,19.48,15.79,15.79,18.41,18.41,18.94,18.94,13.02,13.02,15.83,17.56,20.68,20.68,20.61,19.64,17.34,15.95,12.59,12.59
3,30~40,18.8,17.48,44.23,44.23,16.75,16.07,18.18,18.31,18.31,15.81,15.81,17.43,17.43,16.98,16.98,12.65,12.65,16.7,15.11,17.76,17.76,18.8,17.84,14.97,13.18,12.57,12.57
4,40~50,16.34,15.76,30.07,30.07,15.91,19.32,17.8,16.93,16.93,15.51,15.51,18.0,18.0,16.68,16.68,12.38,12.38,15.66,11.16,16.6,16.6,16.34,16.57,13.37,12.38,11.54,11.54
5,50~60,13.92,14.56,36.22,36.22,14.89,22.22,18.44,14.89,14.89,14.81,14.81,17.26,17.26,15.8,15.8,13.83,13.83,14.67,8.29,15.24,15.24,13.92,16.23,13.81,13.11,11.06,11.06
6,60~70,13.02,12.59,36.38,36.38,13.52,22.02,18.67,12.59,12.59,13.73,13.73,15.15,15.15,13.75,13.75,13.98,13.98,15.67,6.01,12.98,12.98,13.02,15.06,13.75,13.01,11.39,11.39
7,70~80,11.14,11.44,20.06,20.06,12.7,18.95,18.79,9.77,9.77,14.67,14.67,14.17,14.17,11.75,11.75,14.73,14.73,15.41,4.06,11.06,11.06,11.14,13.36,13.53,12.27,10.87,10.87
8,80~90,11.12,11.53,20.0,20.0,11.87,15.55,18.17,8.25,8.25,13.97,13.97,12.98,12.98,11.19,11.19,14.3,14.3,14.77,2.3,10.63,10.63,11.12,11.11,13.02,11.52,10.83,10.83
9,90~100,11.66,10.31,21.52,21.52,11.56,12.71,14.72,7.25,7.25,12.77,12.77,12.12,12.12,10.63,10.63,13.52,13.52,14.67,1.84,10.38,10.38,11.66,9.46,12.23,10.29,11.41,11.41
