"# 2026-07-27 매스실린더(18, 1.1)"
"# 참값: H=180mm, 입구반지름=11mm, 부피=68mL (원통 기준)"
"# 측정: 스텝 7개, 누적 주입 60mL, 원본 v2_infer_20260727_181659.json"
모델,예측높이_mm,예측입구반지름_mm,예측부피_mL,높이오차_%,입구반지름오차_%,부피오차_%,보정적용
★전문가결합(H=nodetach_bestH + r=uni),228.0,8.4,51.0,26.7,23.3,25.0,O
base_ratio.pt,202.6,8.3,75.0,12.5,24.7,10.1,X
base_ratio_smoke.pt,124.0,21.0,327.0,31.1,91.3,378.4,O
base_ratio_smoke_bestH.pt,65.3,34.1,264.0,63.7,210.1,285.6,X
base_ratio_v2.pt,225.4,9.0,71.0,25.2,18.3,3.2,O
rnn_continuity.pt,209.5,13.7,86.0,16.4,24.8,25.3,O
rnn_continuity_bestH.pt,203.4,10.3,70.0,13.0,6.8,2.4,X
rnn_d128_reg.pt,159.2,4.5,40.0,11.6,59.4,42.0,O
rnn_d128_reg_bestH.pt,150.9,4.5,40.0,16.2,59.4,42.0,X
rnn_nodetach_d128.pt,166.1,5.4,57.0,7.7,51.1,17.0,X
rnn_nodetach_d128_bestH.pt,166.1,5.4,57.0,7.7,51.1,17.0,X
rnn_ratio.pt,208.3,6.7,54.0,15.7,39.5,21.0,O
rnn_ratio_bestH.pt,202.5,6.7,54.0,12.5,39.5,21.0,X
rnn_ratio_nodetach.pt,217.9,5.5,63.0,21.0,50.3,7.6,X
rnn_ratio_nodetach_bestH.pt,228.0,5.1,64.0,26.7,53.6,6.4,O
rnn_ratio_v2a.pt,154.4,5.8,42.0,14.2,47.2,38.2,X
rnn_ratio_v2a_bestH.pt,154.4,5.8,42.0,14.2,47.2,38.2,X
rnn_reg.pt,207.4,6.4,59.0,15.2,41.9,13.5,O
rnn_reg_bestH.pt,219.8,6.4,43.0,22.1,42.3,36.8,X
rnn_rev.pt,196.6,8.0,78.0,9.2,27.2,14.2,O
rnn_rev_bestH.pt,189.4,7.8,76.0,5.2,29.2,11.3,X
rnn_uni.pt,226.3,8.4,51.0,25.7,23.3,25.0,O
rnn_uni_bestH.pt,200.0,10.3,74.0,11.1,6.8,7.7,X
rnn_uni_cont.pt,247.9,9.9,75.0,37.7,10.0,9.5,O
rnn_uni_cont_bestH.pt,201.4,9.3,66.0,11.9,15.3,3.4,X
set_reg.pt,210.3,5.0,51.0,16.8,54.4,25.7,O
set_reg_bestH.pt,186.6,6.0,48.0,3.7,45.0,29.6,X
