"# 2026-07-27 매스실린더(18, 1.1) — 슬롯별 예측 반지름(mm). 유효 슬롯 수는 모델별 예측높이/10mm 올림. 그 아래 행은 참고용."
슬롯,z구간_mm,★전문가결합(H=nodetach_bestH + r=uni),base_ratio.pt,base_ratio_smoke.pt,base_ratio_smoke_bestH.pt,base_ratio_v2.pt,rnn_continuity.pt,rnn_continuity_bestH.pt,rnn_d128_reg.pt,rnn_d128_reg_bestH.pt,rnn_nodetach_d128.pt,rnn_nodetach_d128_bestH.pt,rnn_ratio.pt,rnn_ratio_bestH.pt,rnn_ratio_nodetach.pt,rnn_ratio_nodetach_bestH.pt,rnn_ratio_v2a.pt,rnn_ratio_v2a_bestH.pt,rnn_reg.pt,rnn_reg_bestH.pt,rnn_rev.pt,rnn_rev_bestH.pt,rnn_uni.pt,rnn_uni_bestH.pt,rnn_uni_cont.pt,rnn_uni_cont_bestH.pt,set_reg.pt,set_reg_bestH.pt
0,0~10,13.04,19.76,28.94,28.94,15.65,14.43,17.1,16.62,16.62,13.91,13.91,12.82,12.82,17.12,17.12,17.48,17.48,14.28,16.47,15.69,15.69,13.04,18.18,18.85,19.5,13.64,13.64
1,10~20,12.25,19.92,42.77,42.77,14.99,13.05,15.47,15.69,15.69,15.15,15.15,11.86,11.86,16.34,16.34,15.88,15.88,13.65,15.45,15.18,15.18,12.25,17.29,16.77,17.27,11.91,11.91
2,20~30,11.11,18.07,29.51,29.51,14.2,12.41,13.82,13.89,13.89,13.48,13.48,11.7,11.7,16.3,16.3,14.12,14.12,12.66,13.86,14.88,14.88,11.11,16.14,14.27,14.23,12.96,12.96
3,30~40,10.19,15.81,41.61,41.61,13.48,12.37,13.07,12.41,12.41,13.61,13.61,11.5,11.5,15.43,15.43,12.09,12.09,12.88,12.2,14.96,14.96,10.19,14.44,11.77,11.41,12.86,12.86
4,40~50,9.65,13.45,28.35,28.35,12.27,13.74,11.62,10.52,10.52,13.13,13.13,11.79,11.79,13.57,13.57,9.2,9.2,12.62,10.84,14.46,14.46,9.65,12.83,9.59,9.54,10.95,10.95
5,50~60,9.29,11.64,34.09,34.09,11.7,14.44,11.43,8.24,8.24,12.12,12.12,12.03,12.03,12.25,12.25,8.61,8.61,11.46,9.26,13.96,13.96,9.29,11.57,7.39,8.11,10.98,10.98
6,60~70,8.48,9.41,34.11,34.11,10.65,13.93,10.24,6.9,6.9,11.09,11.09,11.58,11.58,10.14,10.14,6.43,6.43,10.65,7.64,13.1,13.1,8.48,10.69,6.47,7.84,9.36,9.36
7,70~80,7.68,8.71,19.13,19.13,9.71,12.95,10.37,5.7,5.7,10.76,10.76,11.15,11.15,8.82,8.82,4.88,4.88,9.88,7.08,11.53,11.53,7.68,9.6,7.07,7.29,9.12,9.12
8,80~90,7.57,8.17,19.2,19.2,8.79,11.72,9.35,5.44,5.44,10.92,10.92,9.15,9.15,7.64,7.64,4.89,4.89,8.91,4.49,10.46,10.46,7.57,8.22,7.35,7.52,8.12,8.12
9,90~100,7.21,7.03,20.39,20.39,8.12,10.3,7.68,4.32,4.32,8.57,8.57,8.13,8.13,7.2,7.2,4.91,4.91,8.53,3.0,9.84,9.84,7.21,6.89,7.55,7.53,8.56,8.56
10,100~110,7.22,5.91,18.38,18.38,8.65,8.82,7.15,3.14,3.14,8.22,8.22,7.14,7.14,5.57,5.57,5.32,5.32,9.07,1.91,8.98,8.98,7.22,6.29,7.28,7.16,7.39,7.39
