step,volume_mL,F1_Hz,F1_BW,F2_Hz,F2_BW,F3_Hz,F3_BW,F4_Hz,F4_BW,F5_Hz,F5_BW
0,0,798,252,1765,293,3060,357,3822,275,,
1,10,718,275,1697,334,3084,366,3733,272,,
2,20,1706,182,2186,108,3740,211,5190,287,,
3,30,910,398,1596,76,2258,152,3861,123,4733,311
4,40,2329,205,3910,120,4773,211,5421,243,,
5,50,2421,349,3866,155,,,,,,
6,60,959,264,2614,214,,,,,,
7,70,956,123,2293,229,2707,120,3828,313,,
8,80,994,79,2316,281,2766,111,3824,190,5150,396
9,90,999,82,2809,161,3844,164,5188,234,,
10,100,1041,64,2282,346,2836,182,3849,182,5236,211
11,110,1060,76,3794,249,5252,352,,,,
12,120,1104,62,2242,287,2899,352,4745,305,,
13,130,1120,70,2129,179,4773,293,,,,
14,140,1153,56,2122,152,3792,284,4814,223,,
15,150,1169,64,2264,202,3815,202,4861,193,,
16,160,1192,117,2271,173,3853,243,4888,366,,
17,170,1241,173,2300,167,3874,240,,,,
18,180,1228,237,2246,220,3400,120,,,,
19,190,1357,346,2288,188,,,,,,
20,200,2236,246,3891,161,5425,170,,,,
21,210,1468,161,3828,234,,,,,,
22,220,1457,111,3879,193,5149,331,,,,
23,230,1473,70,3870,167,5225,328,,,,
24,240,1509,73,3866,196,5222,390,,,,
25,250,1537,76,3898,199,,,,,,
26,260,1564,79,3903,229,,,,,,
27,270,1580,76,3898,231,,,,,,
