"# 2026-07-27 벌어진 컵 고무(11.5, 2.2, 3.8)"
"# 참값: H=115mm, 입구반지름=38mm, 부피=333mL (원뿔대 기준)"
"# 측정: 스텝 28개, 누적 주입 270mL, 원본 v2_infer_20260727_180438.json"
모델,예측높이_mm,예측입구반지름_mm,예측부피_mL,높이오차_%,입구반지름오차_%,부피오차_%,보정적용
★전문가결합(H=nodetach_bestH + r=uni),213.7,16.8,249.0,85.8,55.7,25.1,O
base_ratio.pt,207.5,13.4,150.0,80.4,64.6,54.9,X
base_ratio_smoke.pt,148.2,26.1,414.0,28.8,31.4,24.4,O
base_ratio_smoke_bestH.pt,68.1,37.1,310.0,40.8,2.5,7.0,X
base_ratio_v2.pt,213.7,15.6,171.0,85.8,59.0,48.6,O
rnn_continuity.pt,210.5,15.4,291.0,83.0,59.5,12.7,O
rnn_continuity_bestH.pt,118.3,14.1,216.0,2.9,63.0,35.1,X
rnn_d128_reg.pt,110.1,5.9,79.0,4.2,84.4,76.4,O
rnn_d128_reg_bestH.pt,107.4,4.3,78.0,6.6,88.7,76.7,X
rnn_nodetach_d128.pt,160.9,8.5,168.0,40.0,77.6,49.5,X
rnn_nodetach_d128_bestH.pt,160.9,8.5,168.0,40.0,77.6,49.5,X
rnn_ratio.pt,184.6,9.3,282.0,60.5,75.5,15.3,O
rnn_ratio_bestH.pt,180.3,9.3,282.0,56.8,75.5,15.3,X
rnn_ratio_nodetach.pt,204.6,10.2,211.0,77.9,73.1,36.8,X
rnn_ratio_nodetach_bestH.pt,213.7,11.7,215.0,85.8,69.2,35.5,O
rnn_ratio_v2a.pt,92.5,11.9,106.0,19.6,68.6,68.2,X
rnn_ratio_v2a_bestH.pt,92.5,11.9,106.0,19.6,68.6,68.2,X
rnn_reg.pt,195.3,11.6,202.0,69.8,69.4,39.3,O
rnn_reg_bestH.pt,210.2,12.7,121.0,82.8,66.5,63.7,X
rnn_rev.pt,166.5,15.9,207.0,44.8,58.2,37.8,O
rnn_rev_bestH.pt,161.4,15.9,207.0,40.3,58.2,37.8,X
rnn_uni.pt,180.5,14.8,224.0,57.0,61.0,32.6,O
rnn_uni_bestH.pt,181.0,11.7,190.0,57.3,69.1,43.0,X
rnn_uni_cont.pt,126.4,11.9,240.0,9.9,68.7,28.0,O
rnn_uni_cont_bestH.pt,99.3,12.5,221.0,13.7,67.2,33.6,X
set_reg.pt,220.8,9.5,104.0,92.0,75.0,68.7,O
set_reg_bestH.pt,196.3,8.4,96.0,70.7,78.0,71.1,X
