"# 2026-07-27 벌어진 컵 고무(11.5, 2.2, 3.8) — 슬롯별 예측 반지름(mm). 유효 슬롯 수는 모델별 예측높이/10mm 올림. 그 아래 행은 참고용."
슬롯,z구간_mm,★전문가결합(H=nodetach_bestH + r=uni),base_ratio.pt,base_ratio_smoke.pt,base_ratio_smoke_bestH.pt,base_ratio_v2.pt,rnn_continuity.pt,rnn_continuity_bestH.pt,rnn_d128_reg.pt,rnn_d128_reg_bestH.pt,rnn_nodetach_d128.pt,rnn_nodetach_d128_bestH.pt,rnn_ratio.pt,rnn_ratio_bestH.pt,rnn_ratio_nodetach.pt,rnn_ratio_nodetach_bestH.pt,rnn_ratio_v2a.pt,rnn_ratio_v2a_bestH.pt,rnn_reg.pt,rnn_reg_bestH.pt,rnn_rev.pt,rnn_rev_bestH.pt,rnn_uni.pt,rnn_uni_bestH.pt,rnn_uni_cont.pt,rnn_uni_cont_bestH.pt,set_reg.pt,set_reg_bestH.pt
0,0~10,35.0,23.03,31.38,31.38,21.54,39.43,36.62,21.84,21.84,22.96,22.96,37.36,37.36,29.38,29.38,25.99,25.99,22.68,28.23,35.53,35.53,35.0,34.25,43.89,42.98,16.29,16.29
1,10~20,32.69,23.27,46.49,46.49,20.85,36.67,34.88,20.86,20.86,24.0,24.0,35.59,35.59,28.66,28.66,24.52,24.52,21.26,26.63,33.35,33.35,32.69,32.43,41.5,40.47,15.68,15.68
2,20~30,30.92,20.58,31.87,31.87,20.5,32.6,32.92,19.93,19.93,22.78,22.78,34.59,34.59,28.02,28.02,22.46,22.46,21.06,23.66,30.71,30.71,30.92,29.86,37.5,34.85,16.06,16.06
3,30~40,27.47,19.14,45.0,45.0,20.54,26.49,29.77,18.54,18.54,22.5,22.5,32.19,32.19,25.64,25.64,20.43,20.43,21.52,20.5,24.94,24.94,27.47,25.25,29.66,26.83,15.42,15.42
4,40~50,23.26,17.71,30.61,30.61,19.29,20.71,23.49,16.98,16.98,21.43,21.43,31.26,31.26,23.77,23.77,17.86,17.86,20.56,14.99,19.2,19.2,23.26,18.53,20.26,21.33,14.2,14.2
5,50~60,18.81,17.13,36.87,36.87,17.75,18.13,20.86,14.95,14.95,21.04,21.04,29.47,29.47,22.74,22.74,15.19,15.19,19.97,10.76,14.84,14.84,18.81,15.12,17.38,18.57,14.08,14.08
6,60~70,15.46,15.37,37.06,37.06,15.99,18.7,17.72,12.24,12.24,19.89,19.89,24.31,24.31,19.4,19.4,13.52,13.52,20.58,8.36,13.49,13.49,15.46,13.17,14.83,16.8,13.47,13.47
7,70~80,12.1,14.35,20.34,20.34,15.02,19.84,15.06,8.56,8.56,19.61,19.61,18.3,18.3,17.66,17.66,12.19,12.19,19.91,6.23,13.11,13.11,12.1,12.7,13.66,14.65,12.95,12.95
8,80~90,11.12,14.06,20.25,20.25,13.99,20.75,14.44,6.23,6.23,18.7,18.7,14.96,14.96,16.61,16.61,12.15,12.15,18.5,4.47,13.38,13.38,11.12,11.75,10.84,12.94,13.12,13.12
9,90~100,10.69,12.85,21.69,21.69,13.11,18.91,14.18,4.79,4.79,16.8,16.8,13.75,13.75,15.04,15.04,11.95,11.95,18.93,3.61,12.61,12.61,10.69,10.73,9.3,12.46,12.91,12.91
10,100~110,11.85,12.44,19.8,19.8,14.24,16.93,14.58,4.31,4.31,15.23,15.23,11.0,11.0,13.51,13.51,12.83,12.83,19.52,4.05,12.19,12.19,11.85,10.1,9.95,13.48,11.96,11.96
11,110~120,11.72,10.95,10.09,10.09,13.48,16.3,14.06,5.94,5.94,13.52,13.52,10.28,10.28,13.24,13.24,14.63,14.63,17.41,4.48,11.61,11.61,11.72,9.98,11.33,14.74,10.56,10.56
12,120~130,11.85,10.73,22.35,22.35,12.13,15.87,14.79,7.01,7.01,12.22,12.22,9.85,9.85,11.72,11.72,15.76,15.76,16.99,4.64,12.38,12.38,11.85,10.92,11.89,14.89,11.15,11.15
13,130~140,12.1,11.04,19.01,19.01,11.47,15.61,15.72,7.67,7.67,11.92,11.92,9.43,9.43,10.15,10.15,17.56,17.56,16.16,5.88,13.4,13.4,12.1,12.15,12.16,14.6,10.03,10.03
