step,volume_mL,F1_Hz,F1_BW,F2_Hz,F2_BW,F3_Hz,F3_BW,F4_Hz,F4_BW,F5_Hz,F5_BW,F6_Hz,F6_BW
0,0,1037,73,1872,161,2579,158,,,,,,
1,10,1103,70,1940,202,2676,349,,,,,,
2,20,1140,53,1904,223,,,,,,,,
3,30,636,220,1153,91,1991,255,2649,155,3738,287,4639,287
4,40,1254,79,2047,173,3177,246,3785,173,4758,299,,
5,50,1287,73,3167,229,4820,193,,,,,,
6,60,1351,97,2307,354,3250,369,4836,287,,,,
7,70,1417,73,2307,363,3224,340,3917,229,4905,243,,
8,80,1488,103,3251,205,,,,,,,,
9,90,1534,85,3288,196,3930,396,,,,,,
10,100,1560,62,3276,214,3828,264,5174,393,,,,
11,110,584,132,1598,50,3367,264,3902,363,4534,387,5206,308
12,120,1632,59,5188,340,,,,,,,,
