"# 2026-07-27 벌어진 컵 유리(8.3, 2, 4)"
"# 참값: H=83mm, 입구반지름=40mm, 부피=243mL (원뿔대 기준)"
"# 측정: 스텝 13개, 누적 주입 120mL, 원본 v2_infer_20260727_153837.json"
모델,예측높이_mm,예측입구반지름_mm,예측부피_mL,높이오차_%,입구반지름오차_%,부피오차_%,보정적용
★전문가결합(H=nodetach_bestH + r=uni),166.0,18.2,190.0,100.1,54.4,22.0,O
base_ratio.pt,191.6,10.0,68.0,130.8,75.1,71.9,X
base_ratio_smoke.pt,139.5,18.7,372.0,68.1,53.3,52.9,O
base_ratio_smoke_bestH.pt,67.1,36.0,292.0,19.2,10.1,20.2,X
base_ratio_v2.pt,182.2,9.6,69.0,119.5,75.9,71.8,O
rnn_continuity.pt,149.4,21.4,235.0,80.0,46.4,3.3,O
rnn_continuity_bestH.pt,92.8,16.0,122.0,11.8,59.9,49.7,X
rnn_d128_reg.pt,82.2,8.8,114.0,1.0,77.9,53.3,O
rnn_d128_reg_bestH.pt,82.5,8.8,114.0,0.6,77.9,53.3,X
rnn_nodetach_d128.pt,127.6,11.6,136.0,53.7,71.1,44.1,X
rnn_nodetach_d128_bestH.pt,127.6,11.6,136.0,53.7,71.1,44.1,X
rnn_ratio.pt,129.2,11.3,135.0,55.6,71.8,44.5,O
rnn_ratio_bestH.pt,128.4,11.3,135.0,54.7,71.8,44.5,X
rnn_ratio_nodetach.pt,160.4,10.4,109.0,93.3,74.1,55.1,X
rnn_ratio_nodetach_bestH.pt,166.0,10.4,109.0,100.1,74.1,55.1,O
rnn_ratio_v2a.pt,90.9,17.4,107.0,9.5,56.5,56.1,X
rnn_ratio_v2a_bestH.pt,90.9,17.4,107.0,9.5,56.5,56.1,X
rnn_reg.pt,160.1,8.5,145.0,92.9,78.8,40.5,O
rnn_reg_bestH.pt,160.7,14.3,105.0,93.6,64.2,57.0,X
rnn_rev.pt,145.1,22.4,156.0,74.8,44.1,35.7,O
rnn_rev_bestH.pt,141.4,22.4,156.0,70.4,44.1,35.7,X
rnn_uni.pt,124.5,16.7,151.0,50.0,58.2,37.9,O
rnn_uni_bestH.pt,151.9,14.4,125.0,83.0,64.0,48.5,X
rnn_uni_cont.pt,166.1,26.2,173.0,100.1,34.6,28.9,O
rnn_uni_cont_bestH.pt,169.3,26.3,156.0,104.0,34.2,35.8,X
set_reg.pt,191.4,10.0,86.0,130.6,75.0,64.6,O
set_reg_bestH.pt,169.0,9.5,76.0,103.6,76.2,68.6,X
