"# 2026-07-27 벌어진 컵 유리(8.3, 2, 4) — 슬롯별 예측 반지름(mm). 유효 슬롯 수는 모델별 예측높이/10mm 올림. 그 아래 행은 참고용."
슬롯,z구간_mm,★전문가결합(H=nodetach_bestH + r=uni),base_ratio.pt,base_ratio_smoke.pt,base_ratio_smoke_bestH.pt,base_ratio_v2.pt,rnn_continuity.pt,rnn_continuity_bestH.pt,rnn_d128_reg.pt,rnn_d128_reg_bestH.pt,rnn_nodetach_d128.pt,rnn_nodetach_d128_bestH.pt,rnn_ratio.pt,rnn_ratio_bestH.pt,rnn_ratio_nodetach.pt,rnn_ratio_nodetach_bestH.pt,rnn_ratio_v2a.pt,rnn_ratio_v2a_bestH.pt,rnn_reg.pt,rnn_reg_bestH.pt,rnn_rev.pt,rnn_rev_bestH.pt,rnn_uni.pt,rnn_uni_bestH.pt,rnn_uni_cont.pt,rnn_uni_cont_bestH.pt,set_reg.pt,set_reg_bestH.pt
0,0~10,27.13,14.43,30.47,30.47,13.76,34.52,27.64,25.49,25.49,21.23,21.23,28.41,28.41,23.26,23.26,22.13,22.13,21.19,24.25,25.18,25.18,27.13,34.07,26.77,25.77,14.56,14.56
1,10~20,25.42,14.31,45.1,45.1,12.5,32.0,25.34,25.03,25.03,21.44,21.44,26.9,26.9,21.52,21.52,20.92,20.92,20.35,23.05,22.48,22.48,25.42,30.69,24.31,21.68,13.23,13.23
2,20~30,23.26,13.18,30.95,30.95,12.81,25.87,21.77,24.17,24.17,20.43,20.43,24.89,24.89,19.97,19.97,18.62,18.62,19.87,20.76,19.82,19.82,23.26,23.25,20.1,15.56,13.59,13.59
3,30~40,20.42,12.15,43.82,43.82,12.97,19.54,18.13,22.9,22.9,20.98,20.98,21.06,21.06,18.11,18.11,16.89,16.89,20.37,18.02,17.69,17.69,20.42,14.78,16.21,12.6,13.56,13.56
4,40~50,17.92,11.18,29.8,29.8,12.51,19.32,16.49,21.57,21.57,20.32,20.32,20.21,20.21,17.44,17.44,16.39,16.39,19.65,13.77,16.87,16.87,17.92,10.51,13.45,11.58,12.47,12.47
5,50~60,16.1,10.84,35.85,35.85,11.25,21.01,17.14,18.9,18.9,20.12,20.12,18.88,18.88,15.82,15.82,17.38,17.38,17.73,11.54,17.21,17.21,16.1,10.62,12.67,11.16,12.76,12.76
6,60~70,15.68,10.46,35.97,35.97,10.66,22.4,17.02,14.62,14.62,18.54,18.54,14.1,14.1,13.28,13.28,18.13,18.13,18.39,9.6,17.34,17.34,15.68,10.13,11.68,10.83,12.74,12.74
7,70~80,15.61,9.88,19.94,19.94,10.03,22.47,16.97,10.77,10.77,19.0,19.0,12.08,12.08,11.21,11.21,17.87,17.87,17.6,8.28,16.29,16.29,15.61,9.27,12.06,10.44,12.25,12.25
8,80~90,15.97,10.08,19.76,19.76,9.58,21.18,16.86,8.83,8.83,16.94,16.94,11.29,11.29,10.84,10.84,17.81,17.81,16.94,7.29,14.92,14.92,15.97,8.01,11.18,9.92,12.51,12.51
9,90~100,16.51,9.36,21.3,21.3,9.61,18.13,16.02,7.8,7.8,15.42,15.42,10.95,10.95,9.96,9.96,17.4,17.4,15.48,7.08,13.1,13.1,16.51,6.54,11.19,10.15,12.05,12.05
