step,volume_mL,F1_Hz,F1_BW,F2_Hz,F2_BW,F3_Hz,F3_BW,F4_Hz,F4_BW,F5_Hz,F5_BW,F6_Hz,F6_BW
0,0,595,18,1760,120,2733,117,3314,398,3870,117,,
1,10,603,15,1635,70,2760,94,3883,132,,,,
2,20,611,21,1668,64,2828,129,3896,229,,,,
3,30,624,23,1697,73,2914,141,3906,182,4807,149,5455,299
4,40,639,23,1746,70,2976,155,4820,170,5493,193,,
5,50,653,26,1769,44,2573,170,4850,313,,,,
6,60,655,32,1766,167,3054,173,,,,,,
7,70,656,35,1817,88,3099,188,3833,199,4405,149,,
8,80,643,44,1844,123,3105,284,4539,287,,,,
9,90,658,47,1853,126,3168,305,4586,267,5127,302,,
10,100,668,76,1892,196,3171,229,5145,293,,,,
11,110,697,50,1875,290,3207,211,3742,173,5184,390,,
12,120,739,53,1892,176,3218,234,3846,138,4720,387,,
13,130,764,35,1927,164,3287,287,3926,123,5405,249,,
14,140,776,35,1922,167,3355,308,3928,108,4799,223,5450,129
15,150,789,38,1945,141,2379,255,3868,193,4852,188,,
16,160,780,76,1940,182,2436,252,3898,199,4860,270,,
17,170,819,73,1950,196,2521,223,3898,305,,,,
18,180,843,64,1998,346,2651,164,3878,223,,,,
19,190,860,111,1950,313,2664,149,3846,290,,,,
20,200,888,88,1930,170,2719,182,3847,217,,,,
21,210,905,100,1928,193,2773,252,3858,188,4581,366,5170,229
22,220,940,91,1951,193,2825,384,3857,155,4643,305,5203,202
23,230,983,108,1972,246,3837,202,5226,299,,,,
24,240,1019,88,2013,237,3050,343,3803,322,,,,
25,250,1066,79,2009,293,3045,281,4754,270,,,,
26,260,1098,62,2054,369,3069,231,4763,217,,,,
27,270,694,167,1128,64,2074,270,3099,231,4788,208,,
28,280,1153,100,3110,270,4816,179,,,,,,
29,290,1187,94,3115,337,3834,231,4836,190,,,,
30,300,1211,97,3851,223,4896,176,,,,,,
31,310,1248,103,3094,334,3890,287,4847,393,,,,
32,320,1285,132,3103,319,,,,,,,,
33,330,1364,214,3854,393,,,,,,,,
34,340,1401,138,3836,343,,,,,,,,
35,350,1428,94,3819,313,5188,267,,,,,,
36,360,1438,114,3284,316,3963,126,5095,319,,,,
37,370,1469,161,3973,123,5146,366,,,,,,
38,380,1475,299,3961,141,,,,,,,,
