"# 2026-07-27 벌어진 컵 텀블러(13.8, 2.6, 4)"
"# 참값: H=138mm, 입구반지름=40mm, 부피=479mL (원뿔대 기준)"
"# 측정: 스텝 39개, 누적 주입 380mL, 원본 v2_infer_20260727_192602.json"
모델,예측높이_mm,예측입구반지름_mm,예측부피_mL,높이오차_%,입구반지름오차_%,부피오차_%,보정적용
★전문가결합(H=nodetach_bestH + r=uni),200.0,33.1,498.0,44.9,17.2,3.8,O
base_ratio.pt,193.5,16.4,279.0,40.2,58.9,41.8,X
base_ratio_smoke.pt,152.6,27.9,446.0,10.6,30.1,6.8,O
base_ratio_smoke_bestH.pt,68.6,37.4,315.0,50.3,6.5,34.2,X
base_ratio_v2.pt,196.4,21.3,283.0,42.3,46.8,41.0,O
rnn_continuity.pt,194.3,23.0,384.0,40.8,42.6,19.9,O
rnn_continuity_bestH.pt,154.1,27.7,356.0,11.6,30.9,25.8,X
rnn_d128_reg.pt,123.0,12.7,227.0,10.9,68.2,52.6,O
rnn_d128_reg_bestH.pt,118.7,12.8,222.0,14.0,68.0,53.6,X
rnn_nodetach_d128.pt,164.8,17.6,198.0,19.4,56.1,58.6,X
rnn_nodetach_d128_bestH.pt,164.8,17.6,198.0,19.4,56.1,58.6,X
rnn_ratio.pt,154.0,18.6,396.0,11.6,53.5,17.3,O
rnn_ratio_bestH.pt,151.6,18.6,396.0,9.9,53.5,17.3,X
rnn_ratio_nodetach.pt,191.9,15.7,359.0,39.1,60.8,25.1,X
rnn_ratio_nodetach_bestH.pt,200.0,17.2,368.0,44.9,57.0,23.1,O
rnn_ratio_v2a.pt,179.4,29.4,319.0,30.0,26.6,33.4,X
rnn_ratio_v2a_bestH.pt,179.4,29.4,319.0,30.0,26.6,33.4,X
rnn_reg.pt,192.4,18.5,331.0,39.4,53.7,30.9,O
rnn_reg_bestH.pt,181.2,22.8,231.0,31.3,43.0,51.9,X
rnn_rev.pt,172.0,25.5,307.0,24.7,36.2,36.0,O
rnn_rev_bestH.pt,166.5,23.1,286.0,20.7,42.2,40.3,X
rnn_uni.pt,198.2,32.4,463.0,43.6,19.1,3.4,O
rnn_uni_bestH.pt,210.2,25.1,315.0,52.3,37.2,34.2,X
rnn_uni_cont.pt,148.4,18.3,314.0,7.5,54.4,34.6,O
rnn_uni_cont_bestH.pt,168.7,19.6,297.0,22.3,50.9,38.1,X
set_reg.pt,216.7,15.0,172.0,57.1,62.5,64.1,O
set_reg_bestH.pt,192.6,15.4,157.0,39.6,61.4,67.3,X
