"# 2026-07-27 벌어진 컵 텀블러(13.8, 2.6, 4) — 슬롯별 예측 반지름(mm). 유효 슬롯 수는 모델별 예측높이/10mm 올림. 그 아래 행은 참고용."
슬롯,z구간_mm,★전문가결합(H=nodetach_bestH + r=uni),base_ratio.pt,base_ratio_smoke.pt,base_ratio_smoke_bestH.pt,base_ratio_v2.pt,rnn_continuity.pt,rnn_continuity_bestH.pt,rnn_d128_reg.pt,rnn_d128_reg_bestH.pt,rnn_nodetach_d128.pt,rnn_nodetach_d128_bestH.pt,rnn_ratio.pt,rnn_ratio_bestH.pt,rnn_ratio_nodetach.pt,rnn_ratio_nodetach_bestH.pt,rnn_ratio_v2a.pt,rnn_ratio_v2a_bestH.pt,rnn_reg.pt,rnn_reg_bestH.pt,rnn_rev.pt,rnn_rev_bestH.pt,rnn_uni.pt,rnn_uni_bestH.pt,rnn_uni_cont.pt,rnn_uni_cont_bestH.pt,set_reg.pt,set_reg_bestH.pt
0,0~10,32.01,32.18,31.61,31.61,26.22,39.82,37.91,30.13,30.13,21.2,21.2,40.08,40.08,35.67,35.67,27.44,27.44,26.35,32.59,38.17,38.17,32.01,38.31,45.36,44.07,16.95,16.95
1,10~20,31.34,32.15,46.9,46.9,26.04,38.3,36.58,30.53,30.53,21.94,21.94,38.15,38.15,34.42,34.42,26.3,26.3,24.71,31.83,36.05,36.05,31.34,35.94,43.72,40.88,16.0,16.0
2,20~30,30.23,29.34,32.05,32.05,25.73,36.05,35.1,29.23,29.23,20.68,20.68,37.66,37.66,33.92,33.92,24.46,24.46,24.75,29.85,33.8,33.8,30.23,32.42,39.21,34.49,16.8,16.8
3,30~40,29.04,27.95,45.48,45.48,25.68,32.24,32.35,29.04,29.04,21.27,21.27,35.62,35.62,31.48,31.48,23.75,23.75,25.46,27.32,29.46,29.46,29.04,28.9,31.36,26.86,16.04,16.04
4,40~50,26.59,25.61,30.91,30.91,24.94,28.9,28.42,28.61,28.61,20.83,20.83,34.98,34.98,30.2,30.2,23.12,23.12,24.58,22.7,26.3,26.3,26.59,24.24,23.45,21.4,16.42,16.42
5,50~60,24.18,24.02,37.25,37.25,23.61,26.16,25.66,26.61,26.61,20.29,20.29,34.37,34.37,28.57,28.57,23.21,23.21,23.57,18.92,23.38,23.38,24.18,20.37,20.08,19.19,14.63,14.63
6,60~70,23.02,21.79,37.42,37.42,20.62,24.22,23.43,23.61,23.61,19.27,19.27,30.38,30.38,25.37,25.37,21.98,21.98,24.5,14.94,20.15,20.15,23.02,16.92,18.67,18.01,15.89,15.89
7,70~80,21.73,20.3,20.53,20.53,20.23,22.95,21.31,20.92,20.92,20.02,20.02,25.84,25.84,23.25,23.25,21.62,21.62,24.76,12.46,17.23,17.23,21.73,14.86,18.28,16.63,14.77,14.77
8,80~90,21.95,19.96,20.4,20.4,18.94,21.0,19.5,18.87,18.87,19.72,19.72,23.19,23.19,23.13,23.13,21.74,21.74,23.3,9.33,15.54,15.54,21.95,14.15,15.88,15.4,15.94,15.94
9,90~100,22.75,18.81,21.93,21.93,18.41,18.12,18.61,16.48,16.48,18.51,18.51,22.26,22.26,20.94,20.94,21.64,21.64,23.18,8.4,14.17,14.17,22.75,13.2,14.23,14.72,17.14,17.14
10,100~110,22.85,17.82,20.04,20.04,18.89,16.32,18.67,14.87,14.87,18.23,18.23,18.23,18.23,20.18,20.18,21.12,21.12,24.6,8.85,12.84,12.84,22.85,11.62,14.64,15.09,16.28,16.28
11,110~120,23.86,15.8,10.17,10.17,19.19,16.02,19.28,12.8,12.8,18.11,18.11,17.27,17.27,19.74,19.74,21.06,21.06,22.99,9.44,12.57,12.57,23.86,9.88,16.27,16.24,14.54,14.54
12,120~130,24.25,14.68,22.54,22.54,17.6,16.36,20.74,12.71,12.71,17.77,17.77,16.57,16.57,18.83,18.83,21.25,21.25,22.83,10.88,13.26,13.26,24.25,9.79,16.79,16.08,15.67,15.67
13,130~140,25.3,14.69,19.11,19.11,17.03,17.09,23.06,12.41,12.41,18.36,18.36,17.22,17.22,16.19,16.19,21.66,21.66,23.0,12.21,14.79,14.79,25.3,11.31,17.45,16.69,15.09,15.09
14,140~150,26.82,13.96,26.4,26.4,17.69,18.09,25.05,12.3,12.3,16.56,16.56,17.14,17.14,16.2,16.2,23.31,23.31,20.89,14.22,17.3,17.3,26.82,12.65,18.25,16.89,16.66,16.66
15,150~160,28.36,13.72,27.95,27.95,18.39,18.42,27.66,14.18,14.18,15.96,15.96,18.61,18.61,16.55,16.55,25.25,25.25,20.56,16.3,20.2,20.2,28.36,14.7,19.65,18.49,15.18,15.18
16,160~170,29.72,14.33,17.44,17.44,19.25,18.78,30.19,14.25,14.25,17.56,17.56,19.94,19.94,14.82,14.82,27.06,27.06,19.32,18.8,23.14,23.14,29.72,16.41,21.35,19.62,15.38,15.38
17,170~180,30.71,14.67,12.8,12.8,20.26,19.33,32.41,16.42,16.42,16.12,16.12,20.59,20.59,15.88,15.88,29.37,29.37,19.78,21.03,25.51,25.51,30.71,18.21,20.92,20.03,15.07,15.07
18,180~190,31.08,15.08,15.24,15.24,19.82,20.44,32.24,16.63,16.63,16.38,16.38,21.31,21.31,16.64,16.64,30.75,30.75,19.12,22.8,27.18,27.18,31.08,20.02,21.01,21.58,15.8,15.8
19,190~200,32.38,16.44,9.56,9.56,21.29,22.96,33.0,17.57,17.57,15.11,15.11,22.59,22.59,15.69,15.69,32.19,32.19,18.52,24.64,27.43,27.43,32.38,22.07,21.11,23.51,15.44,15.44
20,200~210,33.12,16.5,26.12,26.12,22.56,25.42,33.66,16.96,16.96,15.13,15.13,23.19,23.19,17.18,17.18,35.33,35.33,18.02,26.52,27.83,27.83,33.12,23.54,22.15,25.38,16.17,16.17
21,210~220,33.15,17.17,3.17,3.17,22.68,27.47,34.86,17.7,17.7,15.43,15.43,25.29,25.29,18.58,18.58,35.01,35.01,16.28,27.98,28.33,28.33,33.15,25.14,22.32,26.31,15.0,15.0
22,220~230,33.79,17.29,9.37,9.37,22.72,29.08,35.17,17.23,17.23,16.08,16.08,25.7,25.7,16.42,16.42,36.27,36.27,16.21,28.92,29.23,29.23,33.79,26.17,22.56,27.3,16.5,16.5
23,230~240,34.94,16.96,25.53,25.53,23.42,30.29,37.2,17.12,17.12,16.22,16.22,26.97,26.97,16.18,16.18,36.3,36.3,16.9,29.87,29.68,29.68,34.94,26.6,23.38,29.49,17.45,17.45
24,240~250,35.22,15.33,7.54,7.54,20.31,31.57,36.69,19.17,19.17,16.42,16.42,27.41,27.41,17.08,17.08,36.22,36.22,19.05,30.85,29.74,29.74,35.22,27.3,23.78,29.57,14.99,14.99
