step,volume_mL,F1_Hz,F1_BW,F2_Hz,F2_BW,F3_Hz,F3_BW,F4_Hz,F4_BW,F5_Hz,F5_BW,F6_Hz,F6_BW
0,0,660,35,2499,352,3848,272,,,,,,
1,10,655,47,1808,252,3885,240,,,,,,
2,20,687,50,1836,170,2523,284,,,,,,
3,30,666,59,1738,214,2503,120,3849,220,,,,
4,40,683,64,1769,190,2550,188,3853,202,,,,
5,50,676,100,1793,255,2607,152,3862,381,,,,
6,60,667,76,1752,146,2639,146,3867,149,,,,
7,70,693,103,1775,179,2696,173,3848,205,4586,343,5111,275
8,80,711,111,1772,226,2730,190,3848,173,4588,249,5149,176
9,90,603,111,2790,234,3852,170,4547,290,5207,120,,
10,100,673,299,2824,299,3843,167,4539,240,5240,108,,
11,110,777,231,1795,234,3872,146,4637,155,5232,155,,
12,120,849,270,3829,231,4577,170,5282,126,,,,
13,130,902,243,3823,179,4598,158,5324,132,,,,
14,140,932,223,3068,311,3793,305,4608,158,5370,182,,
15,150,960,126,3068,293,3795,217,4631,144,5396,167,,
16,160,968,64,3072,290,3804,164,4666,144,5427,123,,
17,170,996,67,3078,193,3759,311,4666,164,5460,161,,
18,180,1006,70,1651,396,2189,299,3058,258,3783,205,4695,173
19,190,617,126,1040,59,1830,211,2409,290,3073,234,,
20,200,1071,56,1632,346,2230,267,3074,229,4757,237,,
21,210,1086,44,3103,337,4836,261,,,,,,
22,220,1118,44,2199,396,3077,193,3910,161,4860,208,,
23,230,1157,53,3138,384,4854,275,,,,,,
24,240,1173,64,4834,360,,,,,,,,
25,250,665,196,1197,123,2231,220,3898,214,4902,278,,
26,260,1259,167,2338,220,,,,,,,,
27,270,1304,255,2206,231,,,,,,,,
28,280,1407,100,2351,231,,,,,,,,
29,290,1451,82,,,,,,,,,,
30,300,1482,62,3805,296,4596,325,,,,,,
31,310,1516,64,3908,346,,,,,,,,
32,320,1543,44,3888,264,4548,322,5426,290,,,,
