"# 2026-07-27 오므라진 컵 유리(9, 3.4)"
"# 참값: H=90mm, 입구반지름=34mm, 부피=327mL (원통 기준)"
"# 측정: 스텝 33개, 누적 주입 320mL, 원본 v2_infer_20260727_173456.json"
# 주의: 오므라진 컵은 표기 반지름(3.4cm)을 원통 근사로 계산 — 입구 실반지름이 다르면 반지름·부피 참값/오차율 재계산 필요
모델,예측높이_mm,예측입구반지름_mm,예측부피_mL,높이오차_%,입구반지름오차_%,부피오차_%,보정적용
★전문가결합(H=nodetach_bestH + r=uni),196.7,18.9,219.0,118.6,44.5,32.9,O
base_ratio.pt,192.4,12.6,178.0,113.7,62.9,45.4,X
base_ratio_smoke.pt,148.4,26.0,411.0,64.9,23.5,25.7,O
base_ratio_smoke_bestH.pt,68.1,36.9,307.0,24.3,8.6,6.1,X
base_ratio_v2.pt,212.2,14.8,115.0,135.8,56.6,64.9,O
rnn_continuity.pt,191.0,21.4,279.0,112.2,37.1,14.8,O
rnn_continuity_bestH.pt,192.8,14.3,291.0,114.2,58.0,11.0,X
rnn_d128_reg.pt,149.4,6.0,192.0,66.0,82.4,41.3,O
rnn_d128_reg_bestH.pt,142.2,6.0,192.0,58.1,82.4,41.3,X
rnn_nodetach_d128.pt,170.6,8.1,123.0,89.5,76.1,62.4,X
rnn_nodetach_d128_bestH.pt,170.6,8.1,123.0,89.5,76.1,62.4,X
rnn_ratio.pt,190.6,12.5,237.0,111.7,63.3,27.4,O
rnn_ratio_bestH.pt,185.9,11.9,232.0,106.5,64.9,28.9,X
rnn_ratio_nodetach.pt,188.9,15.9,208.0,109.8,53.1,36.3,X
rnn_ratio_nodetach_bestH.pt,196.7,15.3,216.0,118.6,55.1,34.0,O
rnn_ratio_v2a.pt,178.3,17.8,179.0,98.1,47.6,45.3,X
rnn_ratio_v2a_bestH.pt,178.3,17.8,179.0,98.1,47.6,45.3,X
rnn_reg.pt,195.0,14.2,193.0,116.7,58.2,40.9,O
rnn_reg_bestH.pt,211.9,18.8,154.0,135.4,44.8,52.9,X
rnn_rev.pt,214.4,25.1,257.0,138.2,26.3,21.5,O
rnn_rev_bestH.pt,206.0,23.9,237.0,128.9,29.6,27.6,X
rnn_uni.pt,191.3,18.9,219.0,112.5,44.5,32.9,O
rnn_uni_bestH.pt,207.5,17.9,222.0,130.6,47.2,32.0,X
rnn_uni_cont.pt,173.2,19.6,279.0,92.4,42.5,14.8,O
rnn_uni_cont_bestH.pt,173.8,17.4,230.0,93.2,48.9,29.7,X
set_reg.pt,210.4,12.3,103.0,133.8,63.7,68.6,O
set_reg_bestH.pt,186.7,12.6,88.0,107.4,62.8,73.1,X
