"# 2026-07-27 오므라진 컵 유리(9, 3.4) — 슬롯별 예측 반지름(mm). 유효 슬롯 수는 모델별 예측높이/10mm 올림. 그 아래 행은 참고용."
슬롯,z구간_mm,★전문가결합(H=nodetach_bestH + r=uni),base_ratio.pt,base_ratio_smoke.pt,base_ratio_smoke_bestH.pt,base_ratio_v2.pt,rnn_continuity.pt,rnn_continuity_bestH.pt,rnn_d128_reg.pt,rnn_d128_reg_bestH.pt,rnn_nodetach_d128.pt,rnn_nodetach_d128_bestH.pt,rnn_ratio.pt,rnn_ratio_bestH.pt,rnn_ratio_nodetach.pt,rnn_ratio_nodetach_bestH.pt,rnn_ratio_v2a.pt,rnn_ratio_v2a_bestH.pt,rnn_reg.pt,rnn_reg_bestH.pt,rnn_rev.pt,rnn_rev_bestH.pt,rnn_uni.pt,rnn_uni_bestH.pt,rnn_uni_cont.pt,rnn_uni_cont_bestH.pt,set_reg.pt,set_reg_bestH.pt
0,0~10,27.54,26.13,31.19,31.19,15.36,30.11,30.85,30.44,30.44,18.88,18.88,24.9,24.9,26.16,26.16,21.98,21.98,21.05,21.61,28.97,28.97,27.54,25.6,39.29,38.36,13.86,13.86
1,10~20,26.42,26.19,46.32,46.32,14.37,28.63,30.18,30.61,30.61,20.07,20.07,24.4,24.4,24.83,24.83,20.9,20.9,19.41,21.13,26.83,26.83,26.42,24.97,37.28,34.82,12.82,12.82
2,20~30,24.83,23.78,31.57,31.57,14.23,26.03,29.65,29.54,29.54,18.46,18.46,24.47,24.47,24.52,24.52,19.97,19.97,19.42,19.87,24.7,24.7,24.83,24.16,32.8,28.93,13.3,13.3
3,30~40,22.95,22.45,44.8,44.8,14.58,23.81,28.7,28.98,28.98,18.65,18.65,24.71,24.71,22.21,22.21,20.08,20.08,19.93,19.04,21.98,21.98,22.95,23.64,27.39,23.41,12.65,12.65
4,40~50,20.86,20.77,30.49,30.49,13.84,24.58,27.99,27.49,27.49,18.08,18.08,25.45,25.45,21.75,21.75,19.83,19.83,18.93,16.94,21.02,21.02,20.86,23.57,21.69,19.62,12.21,12.21
5,50~60,18.99,19.85,36.73,36.73,13.37,26.63,28.14,24.43,24.43,16.82,16.82,26.6,26.6,21.09,21.09,20.28,20.28,18.21,15.77,19.74,19.74,18.99,23.6,19.86,18.63,11.72,11.72
6,60~70,19.13,17.96,36.94,36.94,12.76,26.7,27.86,20.63,20.63,15.68,15.68,25.58,25.58,19.14,19.14,19.63,19.63,19.09,14.37,17.9,17.9,19.13,23.23,19.39,18.21,11.92,11.92
7,70~80,17.68,16.61,20.28,20.28,11.88,22.99,27.37,16.07,16.07,15.74,15.74,25.02,25.02,17.53,17.53,19.21,19.21,18.68,12.99,15.86,15.86,17.68,21.54,18.51,16.24,11.05,11.05
8,80~90,16.45,16.33,20.14,20.14,11.49,18.43,25.01,13.01,13.01,15.37,15.37,22.51,22.51,17.13,17.13,18.28,18.28,17.48,11.23,14.37,14.37,16.45,18.94,16.42,14.92,11.8,11.8
9,90~100,15.36,15.24,21.74,21.74,11.51,15.28,20.25,10.25,10.25,13.7,13.7,20.53,20.53,16.19,16.19,16.6,16.6,17.58,8.96,12.98,12.98,15.36,15.63,13.91,12.17,12.62,12.62
10,100~110,14.75,14.25,19.78,19.78,12.21,13.23,15.3,8.21,8.21,13.2,13.2,16.74,16.74,15.66,15.66,15.48,15.48,18.91,8.53,11.72,11.72,14.75,12.77,12.94,10.64,12.14,12.14
11,110~120,14.08,12.25,10.12,10.12,11.95,13.66,12.24,6.36,6.36,12.24,12.24,14.59,14.59,15.79,15.79,14.76,14.76,17.1,8.36,11.02,11.02,14.08,10.69,13.31,10.86,10.95,10.95
12,120~130,12.8,11.16,22.31,22.31,10.74,14.42,11.32,6.13,6.13,11.64,11.64,12.01,12.01,15.16,15.16,13.44,13.44,17.28,8.04,10.63,10.63,12.8,9.54,13.48,11.45,11.87,11.87
13,130~140,12.87,10.77,18.95,18.95,10.4,14.76,11.01,6.36,6.36,11.61,11.61,11.21,11.21,14.72,14.72,13.15,13.15,17.01,8.45,11.02,11.02,12.87,9.36,14.45,12.67,10.93,10.93
14,140~150,14.08,9.73,26.02,26.02,11.01,15.7,10.62,5.97,5.97,10.5,10.5,10.93,10.93,14.74,14.74,13.85,13.85,15.37,9.96,12.65,12.65,14.08,10.05,15.82,13.81,12.4,12.4
15,150~160,14.84,9.69,27.51,27.51,11.08,16.12,10.63,7.49,7.49,8.63,8.63,11.14,11.14,15.1,15.1,14.74,14.74,15.62,11.65,14.67,14.67,14.84,11.14,17.66,15.75,11.28,11.28
16,160~170,16.31,10.19,17.13,17.13,12.44,16.83,11.28,7.34,7.34,9.84,9.84,11.48,11.48,14.75,14.75,16.11,16.11,14.2,12.6,17.17,17.17,16.31,12.71,19.55,16.85,11.87,11.87
17,170~180,17.49,11.3,12.68,12.68,12.86,18.47,12.72,9.96,9.96,8.14,8.14,11.39,11.39,15.2,15.2,17.82,17.82,14.4,14.55,19.4,19.4,17.49,14.35,19.56,17.38,12.08,12.08
18,180~190,17.51,11.96,15.08,15.08,12.22,19.81,14.21,9.62,9.62,8.62,8.62,11.95,11.95,15.93,15.93,18.88,18.88,14.4,16.06,21.45,21.45,17.51,16.16,19.54,18.46,12.63,12.63
19,190~200,18.89,12.63,9.47,9.47,13.63,21.4,14.26,9.24,9.24,7.21,7.21,12.49,12.49,15.26,15.26,19.98,19.98,14.21,16.82,23.11,23.11,18.89,17.33,20.12,20.19,12.38,12.38
20,200~210,20.19,12.96,25.77,25.77,14.8,22.6,14.52,9.89,9.89,7.65,7.65,13.31,13.31,15.71,15.71,21.86,21.86,13.23,18.23,23.93,23.93,20.19,17.95,21.07,21.65,12.69,12.69
21,210~220,19.82,13.77,3.18,3.18,14.77,23.11,14.8,11.07,11.07,7.62,7.62,14.69,14.69,17.06,17.06,21.82,21.82,11.2,18.76,25.06,25.06,19.82,18.24,21.04,21.82,12.33,12.33
22,220~230,20.55,13.91,9.34,9.34,14.7,23.68,15.5,10.42,10.42,8.18,8.18,14.79,14.79,15.99,15.99,22.45,22.45,11.59,19.55,25.84,25.84,20.55,18.36,21.46,22.73,12.82,12.82
23,230~240,20.93,13.75,25.22,25.22,14.94,23.8,16.35,10.78,10.78,8.38,8.38,17.15,17.15,15.74,15.74,22.57,22.57,12.89,20.11,26.39,26.39,20.93,18.46,21.94,25.0,13.73,13.73
24,240~250,20.51,12.26,7.53,7.53,12.69,24.09,15.34,12.13,12.13,8.5,8.5,18.15,18.15,15.58,15.58,21.95,21.95,14.55,20.86,26.78,26.78,20.51,18.31,22.43,24.49,11.53,11.53
