step,volume_mL,F1_Hz,F1_BW,F2_Hz,F2_BW,F3_Hz,F3_BW,F4_Hz,F4_BW,F5_Hz,F5_BW,F6_Hz,F6_BW
0,0,580,12,1644,50,2236,270,2740,70,3862,59,,
1,10,596,15,1253,94,1705,100,2862,161,3885,129,,
2,20,613,23,1745,44,2495,240,3897,182,,,,
3,30,624,18,1786,67,3019,94,3814,176,,,,
4,40,648,21,1832,88,3092,94,3924,249,,,,
5,50,669,21,1902,97,3141,164,3846,240,,,,
6,60,676,41,1954,100,3170,229,,,,,,
7,70,688,62,1986,243,3163,243,,,,,,
8,80,714,53,1975,346,3171,308,3793,182,5340,381,,
9,90,779,23,1953,144,2347,94,3139,217,3862,114,4720,378
10,100,799,23,1991,217,2427,167,3299,126,3884,190,,
11,110,827,44,2022,308,2502,111,3804,158,,,,
12,120,873,70,2078,349,2639,129,3828,185,,,,
13,130,886,79,2733,173,3836,114,,,,,,
14,140,946,79,2803,290,3819,108,4432,231,5077,311,,
15,150,1009,85,2077,340,2991,357,3842,170,4730,328,5295,366
16,160,1068,67,2053,270,3071,243,4761,234,,,,
17,170,1096,50,2081,243,3094,167,4779,202,,,,
18,180,1168,50,2074,217,3135,196,3749,261,4839,193,,
19,190,1210,53,2101,275,3149,313,3849,164,4855,226,,
20,200,1279,82,3132,343,3852,135,5013,120,,,,
21,210,1369,73,2168,299,3822,138,,,,,,
22,220,1431,62,3145,111,,,,,,,,
23,230,1503,135,3155,340,3815,179,,,,,,
24,240,1601,349,3915,138,4604,328,5371,393,,,,
25,250,1723,319,3873,144,,,,,,,,
