"# 2026-07-27 일자컵 유리(15.2, 2.9)"
"# 참값: H=152mm, 입구반지름=29mm, 부피=402mL (원통 기준)"
"# 측정: 스텝 26개, 누적 주입 250mL, 원본 v2_infer_20260727_171021.json"
모델,예측높이_mm,예측입구반지름_mm,예측부피_mL,높이오차_%,입구반지름오차_%,부피오차_%,보정적용
★전문가결합(H=nodetach_bestH + r=uni),203.9,26.3,281.0,34.2,9.2,30.0,O
base_ratio.pt,200.3,14.5,174.0,31.8,49.9,56.7,X
base_ratio_smoke.pt,148.1,26.1,413.0,2.6,10.1,2.9,O
base_ratio_smoke_bestH.pt,68.0,37.0,309.0,55.2,27.5,23.1,X
base_ratio_v2.pt,202.6,19.0,208.0,33.3,34.5,48.3,O
rnn_continuity.pt,207.1,23.3,295.0,36.3,19.6,26.5,O
rnn_continuity_bestH.pt,163.1,22.7,241.0,7.3,21.8,40.0,X
rnn_d128_reg.pt,97.1,13.6,133.0,36.1,53.3,66.8,O
rnn_d128_reg_bestH.pt,95.7,13.6,133.0,37.0,53.3,66.8,X
rnn_nodetach_d128.pt,172.3,13.4,150.0,13.4,53.7,62.6,X
rnn_nodetach_d128_bestH.pt,172.3,13.4,150.0,13.4,53.7,62.6,X
rnn_ratio.pt,155.6,15.3,269.0,2.4,47.2,33.1,O
rnn_ratio_bestH.pt,153.1,15.3,269.0,0.8,47.2,33.1,X
rnn_ratio_nodetach.pt,195.5,14.0,236.0,28.6,51.9,41.3,X
rnn_ratio_nodetach_bestH.pt,203.9,14.8,243.0,34.2,48.9,39.6,O
rnn_ratio_v2a.pt,132.6,12.9,157.0,12.8,55.7,60.8,X
rnn_ratio_v2a_bestH.pt,132.6,12.9,157.0,12.8,55.7,60.8,X
rnn_reg.pt,198.5,16.2,229.0,30.6,44.1,42.9,O
rnn_reg_bestH.pt,191.8,19.1,158.0,26.2,34.1,60.6,X
rnn_rev.pt,182.3,20.1,204.0,20.0,30.8,49.1,O
rnn_rev_bestH.pt,176.1,19.0,192.0,15.9,34.4,52.3,X
rnn_uni.pt,205.8,26.3,281.0,35.4,9.2,30.0,O
rnn_uni_bestH.pt,198.2,17.0,174.0,30.4,41.5,56.8,X
rnn_uni_cont.pt,142.6,14.0,223.0,6.2,51.7,44.4,O
rnn_uni_cont_bestH.pt,137.7,13.1,194.0,9.4,54.7,51.6,X
set_reg.pt,225.6,14.6,134.0,48.4,49.8,66.6,O
set_reg_bestH.pt,200.9,14.2,122.0,32.1,50.9,69.7,X
