"# 2026-07-27 일자컵 유리(15.2, 2.9) — 슬롯별 예측 반지름(mm). 유효 슬롯 수는 모델별 예측높이/10mm 올림. 그 아래 행은 참고용."
슬롯,z구간_mm,★전문가결합(H=nodetach_bestH + r=uni),base_ratio.pt,base_ratio_smoke.pt,base_ratio_smoke_bestH.pt,base_ratio_v2.pt,rnn_continuity.pt,rnn_continuity_bestH.pt,rnn_d128_reg.pt,rnn_d128_reg_bestH.pt,rnn_nodetach_d128.pt,rnn_nodetach_d128_bestH.pt,rnn_ratio.pt,rnn_ratio_bestH.pt,rnn_ratio_nodetach.pt,rnn_ratio_nodetach_bestH.pt,rnn_ratio_v2a.pt,rnn_ratio_v2a_bestH.pt,rnn_reg.pt,rnn_reg_bestH.pt,rnn_rev.pt,rnn_rev_bestH.pt,rnn_uni.pt,rnn_uni_bestH.pt,rnn_uni_cont.pt,rnn_uni_cont_bestH.pt,set_reg.pt,set_reg_bestH.pt
0,0~10,24.46,24.63,31.27,31.27,22.05,32.11,31.29,24.9,24.9,18.68,18.68,35.56,35.56,29.47,29.47,28.0,28.0,22.29,28.51,33.07,33.07,24.46,29.01,38.8,37.79,15.09,15.09
1,10~20,24.12,24.84,46.37,46.37,21.63,30.26,29.79,24.76,24.76,19.86,19.86,33.75,33.75,27.94,27.94,26.29,26.29,21.06,27.04,30.14,30.14,24.12,26.72,36.5,34.05,13.97,13.97
2,20~30,23.16,22.0,31.8,31.8,21.24,27.59,27.91,23.88,23.88,18.64,18.64,32.57,32.57,27.75,27.75,23.58,23.58,20.8,24.72,27.24,27.24,23.16,23.6,31.89,27.08,14.81,14.81
3,30~40,22.24,20.35,44.97,44.97,21.24,24.34,25.81,23.58,23.58,18.5,18.5,29.72,29.72,25.01,25.01,21.33,21.33,21.31,21.83,22.51,22.51,22.24,21.08,25.98,21.33,14.11,14.11
4,40~50,20.66,18.86,30.57,30.57,20.53,21.68,22.58,22.65,22.65,18.34,18.34,28.5,28.5,23.87,23.87,19.6,19.6,20.4,16.59,18.93,18.93,20.66,18.02,19.82,18.41,14.09,14.09
5,50~60,18.36,18.0,36.9,36.9,19.25,20.41,21.21,20.43,20.43,16.91,16.91,26.5,26.5,23.13,23.13,19.0,19.0,19.91,13.31,16.12,16.12,18.36,16.26,17.33,17.98,13.02,13.02
6,60~70,18.06,16.56,36.97,36.97,17.01,20.67,19.12,17.86,17.86,16.06,16.06,22.84,22.84,20.29,20.29,17.09,17.09,20.08,10.06,14.64,14.64,18.06,14.32,17.01,18.1,12.87,12.87
7,70~80,16.41,14.8,20.39,20.39,16.61,20.58,16.99,15.73,15.73,16.72,16.72,19.67,19.67,18.33,18.33,15.62,15.62,20.17,7.95,13.63,13.63,16.41,13.78,16.69,16.76,12.4,12.4
8,80~90,15.59,14.93,20.25,20.25,15.4,19.24,16.02,14.4,14.4,16.35,16.35,17.74,17.74,17.63,17.63,16.07,16.07,18.77,6.18,13.3,13.3,15.59,13.4,15.01,15.76,13.02,13.02
9,90~100,16.07,14.07,21.75,21.75,15.11,16.91,15.02,13.55,13.55,15.07,15.07,16.74,16.74,16.24,16.24,15.42,15.42,18.92,5.48,12.48,12.48,16.07,13.11,13.52,13.94,14.09,14.09
10,100~110,16.12,13.48,19.79,19.79,15.98,14.89,14.64,12.51,12.51,15.21,15.21,13.91,13.91,15.32,15.32,14.81,14.81,20.14,6.22,11.23,11.23,16.12,12.08,13.15,13.12,13.15,13.15
11,110~120,16.59,12.12,10.07,10.07,16.08,14.19,14.81,12.59,12.59,15.0,15.0,13.36,13.36,15.36,15.36,13.67,13.67,18.58,6.54,9.92,9.92,16.59,10.51,13.53,13.57,12.15,12.15
12,120~130,16.69,11.88,22.34,22.34,14.71,14.67,15.6,13.09,13.09,15.03,15.03,13.48,13.48,14.55,14.55,13.08,13.08,18.84,7.44,9.89,9.89,16.69,9.97,13.18,13.09,13.48,13.48
13,130~140,17.57,12.32,18.95,18.95,14.36,16.37,17.18,13.12,13.12,15.08,15.08,14.0,14.0,13.36,13.36,12.86,12.86,18.79,9.16,10.71,10.71,17.57,10.51,13.4,13.12,12.77,12.77
14,140~150,19.24,11.57,26.08,26.08,14.91,18.19,18.74,13.52,13.52,14.12,14.12,14.16,14.16,13.54,13.54,13.9,13.9,17.47,11.1,12.75,12.75,19.24,11.08,13.99,12.97,14.05,14.05
15,150~160,20.6,11.91,27.67,27.67,15.37,19.19,20.63,15.05,15.05,13.74,13.74,15.3,15.3,14.18,14.18,15.57,15.57,17.39,13.53,15.29,15.29,20.6,12.1,15.34,13.73,13.21,13.21
16,160~170,22.45,11.92,17.32,17.32,16.77,18.96,22.69,15.65,15.65,14.71,14.71,16.17,16.17,13.18,13.18,17.49,17.49,16.3,15.09,17.45,17.45,22.45,13.1,16.98,13.98,13.6,13.6
17,170~180,23.38,13.4,12.68,12.68,17.22,18.84,24.4,17.78,17.78,13.42,13.42,17.27,17.27,14.16,14.16,18.79,18.79,16.86,16.65,19.01,19.01,23.38,14.07,16.63,14.11,13.01,13.01
18,180~190,24.01,13.61,15.12,15.12,16.61,19.78,25.63,17.79,17.79,13.7,13.7,17.81,17.81,14.87,14.87,20.28,20.28,16.07,17.9,20.06,20.06,24.01,15.5,17.04,16.24,13.83,13.83
19,190~200,25.29,14.19,9.48,9.48,17.82,21.2,26.58,18.4,18.4,12.8,12.8,19.09,19.09,13.96,13.96,21.73,21.73,16.2,19.1,20.37,20.37,25.29,16.95,17.38,19.06,13.83,13.83
20,200~210,26.32,14.53,25.8,25.8,19.0,23.32,27.19,18.0,18.0,12.7,12.7,19.96,19.96,14.82,14.82,24.13,24.13,15.44,20.67,21.01,21.01,26.32,18.36,18.29,21.23,14.24,14.24
21,210~220,26.88,15.26,3.21,3.21,18.84,24.92,28.21,18.13,18.13,13.12,13.12,21.33,21.33,16.27,16.27,23.97,23.97,13.75,21.69,21.81,21.81,26.88,19.84,18.1,22.45,13.5,13.5
22,220~230,27.36,15.47,9.32,9.32,18.99,26.51,28.92,18.49,18.49,13.82,13.82,21.51,21.51,14.89,14.89,24.95,24.95,14.16,22.62,22.68,22.68,27.36,21.0,18.79,24.23,14.55,14.55
23,230~240,28.5,15.02,25.32,25.32,19.27,27.76,30.58,18.47,18.47,13.68,13.68,22.03,22.03,14.76,14.76,24.68,24.68,15.03,23.28,23.26,23.26,28.5,21.52,18.84,26.71,15.83,15.83
24,240~250,28.38,13.24,7.52,7.52,16.9,28.81,30.01,19.6,19.6,14.4,14.4,23.4,23.4,14.6,14.6,25.17,25.17,17.06,24.41,23.73,23.73,28.38,22.25,19.06,26.28,13.21,13.21
