step,volume_mL,F1_Hz,F1_BW,F2_Hz,F2_BW,F3_Hz,F3_BW,F4_Hz,F4_BW,F5_Hz,F5_BW,F6_Hz,F6_BW,F7_Hz,F7_BW
0,0,566,185,1358,144,3191,334,3735,226,,,,,,
1,50,578,246,1523,62,5171,144,,,,,,,,
2,100,562,97,1586,47,2725,132,4623,188,,,,,,
3,150,574,56,1185,188,1649,41,2662,126,3684,249,4767,126,5404,325
4,200,595,32,1614,41,2905,205,3705,138,4974,390,,,,
5,250,627,29,1742,117,2976,302,3653,231,5200,144,,,,
6,300,668,59,1805,331,4606,284,,,,,,,,
7,350,686,44,1833,340,3657,357,4784,105,5432,308,,,,
8,400,671,114,1716,120,3611,352,5080,220,,,,,,
9,450,915,384,2749,217,3708,141,4467,278,5185,252,,,,
10,500,994,120,2848,179,3728,161,4426,179,5286,331,,,,
11,550,717,176,1061,117,2926,155,3499,217,4777,270,,,,
12,600,2187,357,2929,240,,,,,,,,,,
13,650,1508,126,3682,261,,,,,,,,,,
