step,volume_mL,F1_Hz,F1_BW,F2_Hz,F2_BW,F3_Hz,F3_BW,F4_Hz,F4_BW,F5_Hz,F5_BW,F6_Hz,F6_BW
0,0,516,272,1698,117,2717,67,5124,313,,,,
1,50,497,103,1703,196,2818,214,3641,155,4624,264,5185,249
2,100,562,170,1181,214,1739,240,2826,267,3673,146,5150,182
3,150,561,120,1758,196,2328,363,2949,214,3698,196,,
4,200,595,38,1746,264,2667,246,3723,214,5148,173,,
5,250,639,56,1721,226,2347,202,5148,302,,,,
6,300,686,64,1641,129,2827,363,3607,211,,,,
7,350,796,311,2822,205,5178,246,,,,,,
8,400,1222,108,2860,208,5055,343,,,,,,
9,450,1692,231,4730,272,,,,,,,,
