중심주파수_Hz,검출컵수(10중),평균세기_dB,최대세기_dB,검출된 컵
5359,9,4.3,11.3,"벌어진 컵 3D프린터(10, 1.5, 3.5) / 벌어진 컵 유리(14.4, 2.5, 4.2) / 벌어진 컵 유리(8.2, 1.7, 2.7) / 일자컵 3D프린터(10, 2.5) / 벌어진 컵 고무(11.5, 2.2, 3.8) / 벌어진 컵 유리(8.3, 2, 4) / 벌어진 컵 텀블러(13.8, 2.6, 4) / 오므라진 컵 유리(9, 3.4) / 일자컵 유리(15.2, 2.9)"
1657,8,4.3,14.8,"벌어진 컵 3D프린터(10, 1.5, 3.5) / 벌어진 컵 유리(14.4, 2.5, 4.2) / 일자컵 3D프린터(10, 2.5) / 매스실린더(18, 1.1) / 벌어진 컵 유리(8.3, 2, 4) / 벌어진 컵 텀블러(13.8, 2.6, 4) / 오므라진 컵 유리(9, 3.4) / 일자컵 유리(15.2, 2.9)"
5647,8,6.5,12.5,"벌어진 컵 3D프린터(10, 1.5, 3.5) / 벌어진 컵 유리(14.4, 2.5, 4.2) / 벌어진 컵 유리(8.2, 1.7, 2.7) / 일자컵 3D프린터(10, 2.5) / 매스실린더(18, 1.1) / 벌어진 컵 유리(8.3, 2, 4) / 오므라진 컵 유리(9, 3.4) / 일자컵 유리(15.2, 2.9)"
749,7,4.1,8.2,"벌어진 컵 유리(14.4, 2.5, 4.2) / 벌어진 컵 유리(8.2, 1.7, 2.7) / 일자컵 3D프린터(10, 2.5) / 벌어진 컵 유리(8.3, 2, 4) / 벌어진 컵 텀블러(13.8, 2.6, 4) / 오므라진 컵 유리(9, 3.4) / 일자컵 유리(15.2, 2.9)"
925,6,4.2,8.7,"벌어진 컵 3D프린터(10, 1.5, 3.5) / 벌어진 컵 유리(8.2, 1.7, 2.7) / 일자컵 3D프린터(10, 2.5) / 벌어진 컵 고무(11.5, 2.2, 3.8) / 벌어진 컵 유리(8.3, 2, 4) / 오므라진 컵 유리(9, 3.4)"
3597,6,3.5,5.5,"벌어진 컵 3D프린터(10, 1.5, 3.5) / 벌어진 컵 유리(14.4, 2.5, 4.2) / 일자컵 3D프린터(10, 2.5) / 벌어진 컵 고무(11.5, 2.2, 3.8) / 벌어진 컵 텀블러(13.8, 2.6, 4) / 일자컵 유리(15.2, 2.9)"
2122,5,5.3,23.4,"벌어진 컵 3D프린터(10, 1.5, 3.5) / 벌어진 컵 유리(8.2, 1.7, 2.7) / 일자컵 3D프린터(10, 2.5) / 벌어진 컵 고무(11.5, 2.2, 3.8) / 벌어진 컵 유리(8.3, 2, 4)"
2622,5,3.4,4.8,"벌어진 컵 3D프린터(10, 1.5, 3.5) / 벌어진 컵 유리(14.4, 2.5, 4.2) / 벌어진 컵 유리(8.2, 1.7, 2.7) / 일자컵 3D프린터(10, 2.5) / 오므라진 컵 유리(9, 3.4)"
2828,5,3.4,5.6,"벌어진 컵 3D프린터(10, 1.5, 3.5) / 벌어진 컵 유리(8.3, 2, 4) / 벌어진 컵 텀블러(13.8, 2.6, 4) / 오므라진 컵 유리(9, 3.4) / 일자컵 유리(15.2, 2.9)"
3997,5,11.2,16.2,"벌어진 컵 3D프린터(10, 1.5, 3.5) / 벌어진 컵 유리(14.4, 2.5, 4.2) / 벌어진 컵 유리(8.2, 1.7, 2.7) / 일자컵 3D프린터(10, 2.5) / 매스실린더(18, 1.1)"
