컵,참H_mm,참입구r_mm,참부피_mL,스텝수,주입_mL,결합_예측H_mm,결합_입구r_mm,결합_부피_mL,H오차_%,입구r오차_%,부피오차_%
"2026-07-23 벌어진 컵 3D프린터(10, 1.5, 3.5)",100.0,35.0,207,13,120,181.5,18.8,152,81.5,46.4,26.5
"2026-07-23 벌어진 컵 유리(14.4, 2.5, 4.2)",144.0,42.0,519,40,390,224.2,21.8,393,55.7,48.1,24.2
"2026-07-23 벌어진 컵 유리(8.2, 1.7, 2.7)",82.0,27.0,127,9,80,168.3,14.4,85,105.2,46.6,32.6
"2026-07-23 일자컵 3D프린터(10, 2.5)",100.0,25.0,196,15,140,188.2,20.0,167,88.2,20.0,14.9
"2026-07-27 매스실린더(18, 1.1)",180.0,11.0,68,7,60,228.0,8.4,51,26.7,23.3,25.0
"2026-07-27 벌어진 컵 고무(11.5, 2.2, 3.8)",115.0,38.0,333,28,270,213.7,16.8,249,85.8,55.7,25.1
"2026-07-27 벌어진 컵 유리(8.3, 2, 4)",83.0,40.0,243,13,120,166.0,18.2,190,100.1,54.4,22.0
"2026-07-27 벌어진 컵 텀블러(13.8, 2.6, 4)",138.0,40.0,479,39,380,200.0,33.1,498,44.9,17.2,3.8
"2026-07-27 오므라진 컵 유리(9, 3.4)",90.0,34.0,327,33,320,196.7,18.9,219,118.6,44.5,32.9
"2026-07-27 일자컵 유리(15.2, 2.9)",152.0,29.0,402,26,250,203.9,26.3,281,34.2,9.2,30.0
