epoch,train_loss,train_l_r,train_l_h,train_l_c,val_loss,val_l_r,val_l_h,val_l_c,val_H_MAE_mm,val_r_MAE_mm,lr,elapsed_s
1,0.122751,0.016277,0.032839,0.007956,0.048087,0.005886,0.012273,0.005384,18.22,2.492,4.99e-04,319
2,0.046287,0.005984,0.012586,0.002544,0.038282,0.005613,0.007655,0.009703,14.94,2.619,4.95e-04,582
3,0.028722,0.003827,0.007850,0.001344,0.035186,0.005487,0.005853,0.012139,13.84,2.501,4.88e-04,846
4,0.023374,0.002835,0.006536,0.000932,0.035416,0.004068,0.007937,0.007537,15.77,2.104,4.79e-04,1109
5,0.024047,0.002606,0.006853,0.000882,0.024089,0.004530,0.003991,0.007587,10.75,2.324,4.67e-04,1365
6,0.023638,0.002314,0.006837,0.000813,0.027128,0.003587,0.005100,0.008239,12.39,2.092,4.53e-04,1622
7,0.024631,0.002226,0.007183,0.000856,0.030272,0.002324,0.006636,0.008041,14.38,1.585,4.36e-04,1880
8,0.025713,0.002080,0.007601,0.000829,0.027115,0.003100,0.005422,0.007748,12.43,1.878,4.18e-04,2138
9,0.024706,0.001964,0.007309,0.000814,0.029209,0.003912,0.005640,0.008376,12.95,2.203,3.98e-04,2400
10,0.024677,0.001844,0.007345,0.000798,0.036444,0.002042,0.008521,0.008839,15.91,1.503,3.76e-04,2682
11,0.022433,0.001656,0.006691,0.000702,0.027948,0.003114,0.005743,0.007605,12.90,1.923,3.53e-04,2962
12,0.022191,0.001572,0.006644,0.000688,0.031932,0.002317,0.007040,0.008496,14.41,1.606,3.29e-04,3237
13,0.020991,0.001504,0.006277,0.000657,0.036079,0.002309,0.008321,0.008806,15.62,1.625,3.04e-04,3499
14,0.019300,0.001379,0.005784,0.000567,0.026256,0.002614,0.005623,0.006774,12.08,1.728,2.78e-04,3766
15,0.019278,0.001347,0.005787,0.000571,0.026197,0.002441,0.005571,0.007043,12.04,1.684,2.53e-04,4030
16,0.019222,0.001268,0.005802,0.000550,0.025759,0.002846,0.005068,0.007710,11.72,1.857,2.27e-04,4280
17,0.020054,0.001285,0.006063,0.000579,0.023984,0.003409,0.004628,0.006690,11.11,2.036,2.01e-04,4516
18,0.020194,0.001302,0.006094,0.000611,0.028439,0.002326,0.006316,0.007166,13.41,1.646,1.76e-04,4758
19,0.019331,0.001189,0.005861,0.000559,0.028382,0.002600,0.006051,0.007630,12.81,1.733,1.52e-04,4998
20,0.018672,0.001148,0.005655,0.000559,0.024066,0.002802,0.004843,0.006734,11.58,1.831,1.29e-04,5237
21,0.018805,0.001132,0.005701,0.000569,0.024569,0.002668,0.004992,0.006924,11.40,1.794,1.07e-04,5478
22,0.018529,0.001101,0.005620,0.000568,0.023788,0.002710,0.004658,0.007105,11.52,1.804,8.69e-05,5724
23,0.018358,0.001072,0.005582,0.000540,0.022111,0.002947,0.004298,0.006271,10.59,1.895,6.86e-05,5966
24,0.017494,0.001026,0.005315,0.000522,0.022752,0.002410,0.004642,0.006415,11.06,1.718,5.23e-05,6205
25,0.017648,0.001006,0.005377,0.000511,0.024093,0.002421,0.005003,0.006662,11.64,1.716,3.82e-05,6444
26,0.018250,0.001022,0.005567,0.000527,0.022995,0.002567,0.004698,0.006334,11.12,1.775,2.64e-05,6681
27,0.017237,0.001001,0.005243,0.000507,0.022627,0.002681,0.004496,0.006458,10.86,1.804,1.71e-05,6921
28,0.017484,0.000985,0.005334,0.000498,0.023060,0.002511,0.004728,0.006364,11.07,1.753,1.04e-05,7164
29,0.017438,0.000991,0.005313,0.000507,0.022662,0.002566,0.004585,0.006342,10.96,1.761,6.36e-06,7408
30,0.017474,0.000987,0.005330,0.000496,0.022877,0.002581,0.004612,0.006458,10.98,1.770,5.00e-06,7648
