epoch,train_loss,train_l_r,train_l_h,val_loss,val_l_r,val_l_h,val_H_MAE_mm,val_r_MAE_mm,lr,elapsed_s
1,0.215216,0.026292,0.062975,0.092360,0.007345,0.028338,29.93,2.673,9.97e-05,242
2,0.099265,0.008704,0.030187,0.056066,0.004960,0.017035,23.40,2.150,9.89e-05,485
3,0.072148,0.006551,0.021866,0.040518,0.004433,0.012028,18.92,2.111,9.76e-05,732
4,0.060273,0.005405,0.018289,0.039639,0.004658,0.011660,18.18,2.253,9.57e-05,1014
5,0.056184,0.004560,0.017208,0.046073,0.004281,0.013931,20.03,2.180,9.34e-05,1319
6,0.054026,0.003901,0.016708,0.046302,0.005038,0.013755,19.50,2.411,9.05e-05,1663
7,0.054122,0.003454,0.016889,0.060625,0.005446,0.018393,23.21,2.405,8.73e-05,1937
8,0.053156,0.003105,0.016684,0.085006,0.006671,0.026112,27.01,2.694,8.36e-05,2191
9,0.052355,0.002807,0.016516,0.108157,0.008132,0.033342,30.49,2.889,7.96e-05,2453
10,0.051589,0.002596,0.016331,0.123072,0.008478,0.038198,31.78,2.936,7.52e-05,2735
11,0.052755,0.002434,0.016774,0.127264,0.011062,0.038734,32.54,3.358,7.06e-05,3029
12,0.052022,0.002297,0.016575,0.133484,0.010766,0.040906,32.57,3.300,6.58e-05,3309
13,0.049686,0.002191,0.015832,0.124958,0.011486,0.037824,31.93,3.371,6.08e-05,3596
14,0.050215,0.002077,0.016046,0.121848,0.012598,0.036417,31.31,3.590,5.57e-05,3877
