epoch,train_loss,train_l_r,train_l_h,val_loss,val_l_r,val_l_h,val_H_MAE_mm,val_r_MAE_mm,lr,elapsed_s
1,0.035970,0.016091,0.006626,0.008932,0.004528,0.001468,6.19,2.222,4.99e-04,306
2,0.006828,0.004358,0.000823,0.015397,0.005308,0.003363,9.78,2.645,4.95e-04,609
3,0.004852,0.003106,0.000582,0.015725,0.004917,0.003603,10.49,2.605,4.88e-04,904
4,0.003906,0.002530,0.000459,0.012087,0.004068,0.002673,8.51,2.327,4.79e-04,1214
5,0.003362,0.002162,0.000400,0.013660,0.004198,0.003154,9.52,2.412,4.67e-04,1498
6,0.002983,0.001928,0.000352,0.011025,0.003450,0.002525,8.30,2.153,4.53e-04,1836
7,0.002894,0.001840,0.000351,0.012800,0.004331,0.002823,8.82,2.413,4.36e-04,2131
8,0.002494,0.001640,0.000285,0.013159,0.003806,0.003118,9.83,2.319,4.18e-04,2429
9,0.002348,0.001521,0.000276,0.014440,0.003121,0.003773,10.75,2.024,3.98e-04,2715
10,0.002211,0.001420,0.000264,0.011815,0.003930,0.002628,8.83,2.362,3.76e-04,3005
11,0.002123,0.001366,0.000252,0.011158,0.003393,0.002588,8.58,2.147,3.53e-04,3304
12,0.001923,0.001262,0.000220,0.012974,0.003688,0.003095,9.69,2.223,3.29e-04,3615
13,0.001816,0.001190,0.000209,0.011227,0.003355,0.002624,8.79,2.090,3.04e-04,3906
14,0.001770,0.001156,0.000205,0.011719,0.003759,0.002653,8.84,2.281,2.78e-04,4203
15,0.001599,0.001065,0.000178,0.015410,0.004435,0.003658,10.34,2.488,2.53e-04,4496
16,0.001522,0.001019,0.000167,0.013748,0.003406,0.003447,10.19,2.108,2.27e-04,4784
17,0.001431,0.000958,0.000158,0.011664,0.003375,0.002763,8.98,2.104,2.01e-04,5082
18,0.001380,0.000924,0.000152,0.011818,0.003577,0.002747,8.93,2.159,1.76e-04,5370
19,0.001292,0.000876,0.000138,0.012752,0.003667,0.003028,9.40,2.215,1.52e-04,5703
