epoch,train_loss,train_l_r,train_l_h,val_loss,val_l_r,val_l_h,val_H_MAE_mm,val_r_MAE_mm,lr,elapsed_s
1,0.112078,0.012249,0.033276,0.037814,0.004327,0.011162,18.14,2.193,4.99e-04,299
2,0.042173,0.003422,0.012917,0.018146,0.002827,0.005106,11.82,1.726,4.95e-04,577
3,0.031704,0.002335,0.009790,0.024599,0.003376,0.007075,14.98,2.038,4.88e-04,853
4,0.027357,0.001810,0.008516,0.020269,0.004153,0.005372,12.35,2.229,4.79e-04,1132
5,0.027953,0.001546,0.008802,0.019384,0.003767,0.005205,12.44,2.131,4.67e-04,1413
6,0.029606,0.001379,0.009409,0.023532,0.005677,0.005952,13.46,2.694,4.53e-04,1697
7,0.032405,0.001259,0.010382,0.028114,0.003919,0.008065,15.59,2.195,4.36e-04,1952
8,0.032934,0.001134,0.010600,0.024027,0.003765,0.006754,13.70,2.165,4.18e-04,2204
9,0.034151,0.001046,0.011035,0.035526,0.003605,0.010640,17.54,2.150,3.98e-04,2490
10,0.032966,0.001000,0.010655,0.030884,0.003645,0.009080,15.87,2.155,3.76e-04,2772
11,0.032907,0.000934,0.010658,0.032327,0.004196,0.009377,16.08,2.349,3.53e-04,3076
12,0.033478,0.000874,0.010868,0.031470,0.003638,0.009277,16.00,2.149,3.29e-04,3356
13,0.033704,0.000836,0.010956,0.032753,0.003728,0.009675,15.87,2.182,3.04e-04,3675
14,0.034509,0.000783,0.011242,0.037117,0.003972,0.011048,17.15,2.254,2.78e-04,3958
15,0.034949,0.000745,0.011401,0.027944,0.003749,0.008065,14.82,2.213,2.53e-04,4240
16,0.034939,0.000711,0.011409,0.034010,0.003795,0.010071,16.29,2.211,2.27e-04,4523
17,0.033968,0.000684,0.011095,0.028950,0.003833,0.008372,14.66,2.260,2.01e-04,4805
18,0.033906,0.000644,0.011087,0.035141,0.003658,0.010494,16.60,2.195,1.76e-04,5086
19,0.035247,0.000613,0.011545,0.031235,0.003947,0.009096,15.51,2.254,1.52e-04,5358
20,0.035383,0.000586,0.011599,0.034849,0.004176,0.010225,16.48,2.343,1.29e-04,5610
21,0.033927,0.000570,0.011119,0.034323,0.003658,0.010222,16.55,2.203,1.07e-04,5912
22,0.033967,0.000545,0.011141,0.039331,0.003909,0.011807,17.53,2.285,8.69e-05,6233
23,0.034612,0.000525,0.011362,0.032217,0.004017,0.009400,15.75,2.300,6.86e-05,6522
24,0.034484,0.000512,0.011324,0.029921,0.003975,0.008648,14.93,2.285,5.23e-05,6804
25,0.033883,0.000497,0.011129,0.037170,0.003867,0.011101,16.83,2.267,3.82e-05,7087
26,0.034373,0.000487,0.011295,0.036815,0.003825,0.010997,16.87,2.253,2.64e-05,7368
27,0.034173,0.000477,0.011232,0.032310,0.003829,0.009494,15.77,2.254,1.71e-05,7650
28,0.032919,0.000469,0.010817,0.035274,0.003831,0.010481,16.63,2.249,1.04e-05,7932
29,0.032153,0.000461,0.010564,0.035232,0.003842,0.010463,16.51,2.255,6.36e-06,8216
30,0.032995,0.000459,0.010846,0.035141,0.003883,0.010420,16.50,2.272,5.00e-06,8498
