epoch,train_loss,train_l_r,train_l_h,val_loss,val_l_r,val_l_h,val_H_MAE_mm,val_r_MAE_mm,lr,elapsed_s
1,0.233487,0.022997,0.070163,0.099137,0.006289,0.030949,30.89,2.410,9.99e-05,231
2,0.105129,0.008031,0.032366,0.067253,0.004708,0.020848,25.88,2.136,9.96e-05,470
3,0.084424,0.006009,0.026138,0.052386,0.004864,0.015841,22.79,2.291,9.91e-05,721
4,0.070239,0.004813,0.021809,0.042650,0.004357,0.012764,20.22,2.185,9.84e-05,997
5,0.063633,0.004051,0.019861,0.038527,0.004349,0.011393,18.79,2.181,9.76e-05,1277
6,0.057202,0.003462,0.017913,0.035364,0.004168,0.010399,17.41,2.110,9.65e-05,1552
7,0.052771,0.003076,0.016565,0.034850,0.004837,0.010004,16.92,2.284,9.53e-05,1825
8,0.050500,0.002774,0.015909,0.032505,0.007327,0.008393,15.60,2.767,9.39e-05,2131
9,0.048931,0.002523,0.015469,0.040325,0.008569,0.010586,17.86,2.981,9.23e-05,2436
10,0.050533,0.002351,0.016060,0.056322,0.009381,0.015647,21.73,3.136,9.05e-05,2735
11,0.050543,0.002172,0.016124,0.062702,0.009662,0.017680,22.88,3.165,8.86e-05,3039
12,0.048606,0.002041,0.015522,0.069321,0.010625,0.019565,23.98,3.347,8.66e-05,3337
13,0.050888,0.001942,0.016316,0.074404,0.012839,0.020522,24.18,3.740,8.44e-05,3640
14,0.050876,0.001832,0.016348,0.073332,0.012091,0.020414,24.68,3.483,8.21e-05,3923
15,0.050683,0.001757,0.016309,0.081287,0.013389,0.022633,25.49,3.739,7.96e-05,4177
16,0.051442,0.001693,0.016583,0.076039,0.014780,0.020420,24.49,3.967,7.70e-05,4421
17,0.052306,0.001615,0.016897,0.091891,0.015416,0.025491,26.49,4.106,7.43e-05,4653
18,0.051789,0.001575,0.016738,0.088454,0.015346,0.024369,26.18,4.118,7.16e-05,4890
19,0.053996,0.001505,0.017497,0.093715,0.014960,0.026251,26.68,4.062,6.87e-05,5124
