epoch,train_loss,train_l_r,train_l_h,train_l_c,val_loss,val_l_r,val_l_h,val_l_c,val_H_MAE_mm,val_r_MAE_mm,lr,elapsed_s
1,0.068836,0.024087,0.010755,0.012484,0.046543,0.009580,0.007350,0.014914,16.20,3.441,1.99e-04,234
2,0.015265,0.007871,0.001605,0.002578,0.098896,0.015694,0.014150,0.040752,20.82,4.710,1.98e-04,451
3,0.010155,0.005788,0.001010,0.001337,0.092699,0.016678,0.011431,0.041729,17.88,4.935,1.95e-04,697
4,0.007927,0.004633,0.000781,0.000952,0.082596,0.013551,0.010769,0.036739,17.78,4.340,1.91e-04,911
5,0.006578,0.003877,0.000646,0.000764,0.088480,0.014031,0.011283,0.040599,18.30,4.383,1.87e-04,1116
6,0.005811,0.003400,0.000590,0.000642,0.080283,0.014816,0.008987,0.038505,15.98,4.649,1.81e-04,1298
7,0.005225,0.003067,0.000525,0.000584,0.072459,0.013260,0.008385,0.034044,15.51,4.382,1.75e-04,1489
8,0.004742,0.002805,0.000480,0.000496,0.073008,0.013839,0.008061,0.034986,15.04,4.468,1.67e-04,1673
9,0.004359,0.002598,0.000440,0.000441,0.076007,0.015206,0.007650,0.037851,14.89,4.610,1.59e-04,1866
10,0.004073,0.002421,0.000419,0.000394,0.080743,0.016802,0.008068,0.039736,15.20,4.949,1.50e-04,2059
11,0.003757,0.002255,0.000376,0.000374,0.079320,0.015623,0.008105,0.039381,15.72,4.804,1.41e-04,2253
12,0.003523,0.002130,0.000355,0.000328,0.078504,0.016944,0.007144,0.040127,14.85,4.973,1.32e-04,2446
13,0.003385,0.002040,0.000343,0.000316,0.081046,0.015773,0.008485,0.039819,16.34,4.764,1.22e-04,2640
14,0.003211,0.001954,0.000323,0.000289,0.081151,0.016324,0.008058,0.040653,15.71,4.876,1.11e-04,2834
15,0.003075,0.001867,0.000311,0.000273,0.085221,0.015842,0.009390,0.041208,17.05,4.810,1.01e-04,3027
16,0.002898,0.001787,0.000290,0.000241,0.083876,0.016140,0.008866,0.041136,16.96,4.850,9.07e-05,3221
17,0.002802,0.001724,0.000280,0.000239,0.083812,0.016086,0.008796,0.041337,16.54,4.881,8.04e-05,3415
18,0.002723,0.001681,0.000272,0.000226,0.082589,0.017378,0.007706,0.042093,15.42,5.098,7.04e-05,3609
19,0.002622,0.001631,0.000259,0.000213,0.082023,0.016106,0.008363,0.040826,16.43,4.883,6.07e-05,3803
20,0.002507,0.001578,0.000246,0.000193,0.085648,0.017082,0.008706,0.042448,16.78,5.071,5.15e-05,3996
21,0.002439,0.001538,0.000239,0.000185,0.083860,0.016311,0.008654,0.041588,16.65,4.923,4.28e-05,4190
22,0.002380,0.001511,0.000230,0.000178,0.086553,0.017240,0.008733,0.043114,16.99,5.111,3.48e-05,4383
23,0.002313,0.001475,0.000224,0.000168,0.087107,0.016796,0.009094,0.043029,17.14,5.032,2.74e-05,4577
24,0.002264,0.001452,0.000217,0.000162,0.086472,0.017620,0.008428,0.043567,16.40,5.180,2.09e-05,4768
25,0.002222,0.001426,0.000213,0.000157,0.088185,0.017625,0.008882,0.043916,16.94,5.192,1.53e-05,4961
26,0.002176,0.001409,0.000205,0.000152,0.086324,0.016854,0.008856,0.042901,16.96,5.042,1.06e-05,5154
27,0.002150,0.001392,0.000202,0.000153,0.088806,0.017638,0.009038,0.044054,17.04,5.182,6.85e-06,5348
28,0.002135,0.001387,0.000199,0.000150,0.088442,0.017721,0.008905,0.044006,17.00,5.198,4.16e-06,5541
29,0.002110,0.001370,0.000199,0.000144,0.087940,0.017619,0.008816,0.043872,16.94,5.179,2.54e-06,5733
30,0.002109,0.001374,0.000197,0.000143,0.087999,0.017495,0.008916,0.043756,17.03,5.156,2.00e-06,5926
