epoch,train_loss,train_l_r,train_l_h,train_l_c,val_loss,val_l_r,val_l_h,val_l_c,val_H_MAE_mm,val_r_MAE_mm,lr,elapsed_s
1,0.130863,0.011084,0.039926,0.025710,0.040637,0.002897,0.012580,0.006393,19.80,1.569,4.99e-04,218
2,0.048566,0.003270,0.015099,0.011763,0.026891,0.002658,0.008078,0.007163,15.75,1.691,4.95e-04,427
3,0.036449,0.002326,0.011374,0.008583,0.028191,0.002461,0.008576,0.012227,16.18,1.628,4.88e-04,638
4,0.027273,0.001799,0.008491,0.005478,0.024189,0.004293,0.006632,0.014654,13.94,2.260,4.79e-04,848
5,0.027263,0.001556,0.008569,0.005584,0.040186,0.004440,0.011915,0.019135,18.80,2.345,4.67e-04,1057
6,0.026395,0.001383,0.008337,0.005366,0.027760,0.004425,0.007778,0.015508,14.91,2.381,4.53e-04,1265
7,0.024834,0.001232,0.007867,0.005002,0.034266,0.005210,0.009685,0.017306,17.23,2.569,4.36e-04,1473
8,0.027462,0.001138,0.008775,0.005425,0.032629,0.005153,0.009159,0.016414,16.41,2.607,4.18e-04,1681
9,0.028471,0.001031,0.009147,0.005399,0.032127,0.004973,0.009051,0.016749,16.02,2.519,3.98e-04,1889
10,0.028387,0.000982,0.009135,0.005358,0.023117,0.004846,0.006091,0.011467,13.29,2.469,3.76e-04,2096
11,0.028014,0.000901,0.009038,0.005304,0.030211,0.005484,0.008242,0.016409,15.28,2.683,3.53e-04,2306
12,0.026172,0.000858,0.008438,0.004714,0.030880,0.005034,0.008615,0.016581,16.04,2.523,3.29e-04,2516
13,0.031025,0.000811,0.010071,0.005895,0.026885,0.004356,0.007510,0.013391,14.61,2.372,3.04e-04,2726
14,0.027226,0.000752,0.008825,0.005111,0.027598,0.004513,0.007695,0.012422,14.63,2.407,2.78e-04,2935
15,0.029162,0.000719,0.009481,0.005517,0.030006,0.004456,0.008517,0.014174,15.33,2.404,2.53e-04,3142
16,0.028136,0.000678,0.009153,0.005255,0.030554,0.004695,0.008620,0.013552,15.19,2.486,2.27e-04,3351
17,0.028679,0.000644,0.009345,0.005328,0.031556,0.004734,0.008941,0.016059,16.30,2.472,2.01e-04,3560
18,0.028733,0.000616,0.009373,0.005251,0.024681,0.004572,0.006703,0.011887,13.67,2.421,1.76e-04,3770
19,0.027047,0.000597,0.008817,0.004822,0.024308,0.004726,0.006527,0.010249,13.53,2.476,1.52e-04,3980
20,0.027531,0.000565,0.008989,0.004883,0.026450,0.004749,0.007234,0.013865,14.04,2.493,1.29e-04,4194
21,0.027852,0.000539,0.009104,0.005126,0.034353,0.004950,0.009801,0.018622,16.85,2.543,1.07e-04,4401
22,0.026010,0.000522,0.008496,0.004691,0.027956,0.005030,0.007642,0.014659,14.55,2.539,8.69e-05,4608
23,0.028462,0.000503,0.009320,0.005147,0.038030,0.004909,0.011040,0.018757,17.58,2.534,6.86e-05,4816
24,0.028520,0.000489,0.009344,0.005031,0.033939,0.004850,0.009696,0.017633,16.56,2.520,5.23e-05,5024
25,0.029398,0.000475,0.009641,0.005246,0.031820,0.005074,0.008915,0.016827,15.72,2.575,3.82e-05,5232
26,0.029437,0.000460,0.009659,0.005332,0.032372,0.004751,0.009207,0.016485,15.93,2.495,2.64e-05,5440
27,0.028185,0.000453,0.009244,0.005024,0.031253,0.004989,0.008755,0.016832,15.58,2.556,1.71e-05,5649
28,0.028176,0.000446,0.009243,0.005067,0.029823,0.004880,0.008314,0.016080,15.25,2.529,1.04e-05,5857
29,0.027382,0.000439,0.008981,0.004979,0.030760,0.004886,0.008625,0.016496,15.52,2.528,6.36e-06,6075
30,0.027414,0.000438,0.008992,0.004971,0.030103,0.004967,0.008379,0.016235,15.27,2.548,5.00e-06,6292
