epoch,train_loss,train_l_r,train_l_h,train_l_c,val_loss,val_l_r,val_l_h,val_l_c,val_H_MAE_mm,val_r_MAE_mm,lr,elapsed_s
1,0.066137,0.020760,0.012279,0.008539,0.056497,0.012029,0.008479,0.019032,16.59,3.916,4.99e-04,389
2,0.017200,0.007418,0.002775,0.001458,0.062485,0.013054,0.007874,0.025810,15.70,4.327,4.95e-04,859
3,0.012149,0.005538,0.001923,0.000842,0.047382,0.011398,0.004563,0.022295,12.16,3.960,4.88e-04,1225
4,0.009707,0.004529,0.001504,0.000665,0.035280,0.008647,0.003600,0.015834,10.74,3.384,4.79e-04,1593
5,0.008478,0.003980,0.001308,0.000574,0.036990,0.008282,0.004042,0.016580,11.19,3.308,4.67e-04,1955
6,0.007318,0.003502,0.001114,0.000473,0.029990,0.008169,0.002386,0.014662,8.30,3.348,4.53e-04,2365
7,0.006714,0.003227,0.001020,0.000427,0.032946,0.007285,0.003436,0.015352,10.32,3.095,4.36e-04,2775
8,0.006234,0.003030,0.000943,0.000374,0.027346,0.005873,0.002986,0.012515,9.41,2.731,4.18e-04,3127
9,0.005715,0.002820,0.000853,0.000335,0.026297,0.006367,0.002413,0.012691,8.58,2.886,3.98e-04,3427
10,0.005196,0.002606,0.000766,0.000293,0.025380,0.005264,0.002750,0.011867,9.00,2.617,3.76e-04,3706
11,0.005036,0.002516,0.000748,0.000277,0.024188,0.005917,0.002076,0.012044,7.79,2.772,3.53e-04,3983
12,0.004503,0.002320,0.000650,0.000234,0.023491,0.006358,0.001693,0.012053,7.05,2.927,3.29e-04,4267
13,0.004330,0.002246,0.000618,0.000230,0.025821,0.006095,0.002221,0.013062,8.14,2.833,3.04e-04,4549
14,0.004151,0.002149,0.000604,0.000191,0.024221,0.006011,0.001936,0.012401,7.58,2.803,2.78e-04,4831
15,0.003855,0.002043,0.000544,0.000180,0.024649,0.006427,0.001750,0.012972,6.94,2.909,2.53e-04,5112
16,0.003717,0.001974,0.000525,0.000167,0.024042,0.006663,0.001528,0.012796,6.72,3.011,2.27e-04,5393
17,0.003481,0.001879,0.000485,0.000149,0.025332,0.006337,0.001752,0.013738,7.09,2.908,2.01e-04,5675
18,0.003268,0.001787,0.000448,0.000137,0.023888,0.006144,0.001747,0.012504,7.17,2.851,1.76e-04,5957
19,0.003151,0.001737,0.000430,0.000124,0.026089,0.006951,0.001575,0.014412,6.86,3.037,1.52e-04,6238
20,0.003103,0.001704,0.000427,0.000118,0.025118,0.006264,0.001782,0.013509,7.36,2.902,1.29e-04,6522
21,0.002929,0.001629,0.000399,0.000102,0.025531,0.006238,0.001969,0.013387,7.73,2.895,1.07e-04,6805
22,0.002786,0.001578,0.000369,0.000102,0.025581,0.007043,0.001553,0.013880,6.67,3.102,8.69e-05,7086
23,0.002750,0.001551,0.000369,0.000091,0.025371,0.006789,0.001580,0.013841,6.80,3.044,6.86e-05,7368
24,0.002632,0.001498,0.000350,0.000085,0.026935,0.007104,0.001730,0.014640,7.11,3.131,5.23e-05,7649
25,0.002541,0.001466,0.000330,0.000085,0.025785,0.006659,0.001790,0.013755,7.17,3.021,3.82e-05,7929
26,0.002507,0.001459,0.000323,0.000080,0.025095,0.006679,0.001546,0.013780,6.63,3.017,2.64e-05,8210
27,0.002454,0.001424,0.000319,0.000073,0.025776,0.006861,0.001611,0.014081,6.82,3.072,1.71e-05,8491
28,0.002425,0.001412,0.000312,0.000077,0.025515,0.006821,0.001569,0.013986,6.75,3.069,1.04e-05,8772
29,0.002411,0.001409,0.000310,0.000072,0.025953,0.006884,0.001632,0.014174,6.87,3.078,6.36e-06,9052
30,0.002350,0.001386,0.000299,0.000068,0.025559,0.006750,0.001601,0.014006,6.79,3.048,5.00e-06,9334
