epoch,train_loss,train_l_r,train_l_h,train_l_c,val_loss,val_l_r,val_l_h,val_l_c,val_H_MAE_mm,val_r_MAE_mm,lr,elapsed_s
1,0.137595,0.020188,0.036446,0.008068,0.050643,0.008629,0.013014,0.002972,19.09,2.900,4.99e-04,286
2,0.043960,0.007701,0.011503,0.001749,0.055747,0.013128,0.007518,0.020064,14.17,4.085,4.95e-04,561
3,0.030862,0.005533,0.008076,0.001102,0.058656,0.007007,0.011816,0.016200,19.34,2.909,4.88e-04,836
4,0.026173,0.004388,0.006986,0.000826,0.037696,0.007014,0.006130,0.012292,13.47,2.883,4.79e-04,1110
5,0.024310,0.003881,0.006555,0.000765,0.037281,0.006025,0.006439,0.011938,14.00,2.674,4.67e-04,1384
6,0.022464,0.003412,0.006124,0.000679,0.038845,0.005673,0.006696,0.013083,14.72,2.633,4.53e-04,1658
7,0.021415,0.003206,0.005856,0.000641,0.038277,0.005546,0.006666,0.012733,14.07,2.644,4.36e-04,1931
8,0.021934,0.003110,0.006042,0.000699,0.028382,0.005988,0.004108,0.010071,10.94,2.717,4.18e-04,2205
9,0.018728,0.002689,0.005165,0.000543,0.037208,0.004653,0.006888,0.011892,14.94,2.343,3.98e-04,2480
10,0.019913,0.002668,0.005556,0.000577,0.032388,0.006505,0.004553,0.012223,11.58,2.868,3.76e-04,2754
11,0.018684,0.002482,0.005230,0.000511,0.036471,0.005247,0.005898,0.013530,13.33,2.567,3.53e-04,3027
12,0.017760,0.002332,0.004986,0.000472,0.035399,0.004649,0.006334,0.011748,14.30,2.391,3.29e-04,3301
13,0.017169,0.002237,0.004822,0.000465,0.031598,0.005864,0.004460,0.012355,11.29,2.741,3.04e-04,3575
14,0.016078,0.002059,0.004538,0.000404,0.030701,0.005983,0.004176,0.012191,11.15,2.759,2.78e-04,3850
15,0.016071,0.002015,0.004551,0.000404,0.037725,0.005209,0.006097,0.014227,13.93,2.576,2.53e-04,4123
16,0.015842,0.001955,0.004492,0.000410,0.040750,0.004116,0.007658,0.013661,15.58,2.216,2.27e-04,4399
17,0.016016,0.001888,0.004579,0.000392,0.029625,0.005782,0.003944,0.012013,10.73,2.737,2.01e-04,4675
18,0.015313,0.001780,0.004388,0.000368,0.030291,0.005313,0.004407,0.011755,11.17,2.599,1.76e-04,4951
19,0.014844,0.001718,0.004259,0.000348,0.029099,0.004993,0.004335,0.011101,11.21,2.497,1.52e-04,5227
20,0.014282,0.001656,0.004092,0.000350,0.028964,0.005668,0.003883,0.011645,10.40,2.713,1.29e-04,5501
21,0.014187,0.001587,0.004087,0.000338,0.029144,0.005070,0.004031,0.011981,10.81,2.544,1.07e-04,5777
22,0.013620,0.001534,0.003926,0.000309,0.029409,0.005304,0.004023,0.012036,10.70,2.621,8.69e-05,6051
23,0.013504,0.001487,0.003904,0.000306,0.029334,0.004798,0.004364,0.011445,11.34,2.464,6.86e-05,6326
24,0.013663,0.001459,0.003963,0.000315,0.027962,0.004920,0.003908,0.011319,10.82,2.532,5.23e-05,6600
25,0.013690,0.001453,0.003973,0.000319,0.029291,0.005225,0.004167,0.011563,10.99,2.570,3.82e-05,6874
26,0.020212,0.001804,0.005966,0.000510,0.030034,0.005531,0.004587,0.010743,11.01,2.602,2.64e-05,7149
27,0.018126,0.001726,0.005296,0.000511,0.029375,0.005733,0.004250,0.010892,10.75,2.687,1.71e-05,7422
28,0.017241,0.001635,0.005034,0.000502,0.030600,0.005549,0.004632,0.011155,11.34,2.651,1.04e-05,7697
29,0.017605,0.001628,0.005144,0.000544,0.030346,0.005540,0.004602,0.010999,11.17,2.651,6.36e-06,7971
30,0.019169,0.001703,0.005602,0.000660,0.032676,0.005633,0.005280,0.011204,11.93,2.653,5.00e-06,8246
