epoch,train_loss,train_l_r,train_l_h,train_l_c,val_loss,val_l_r,val_l_h,val_l_c,val_H_MAE_mm,val_r_MAE_mm,lr,elapsed_s
1,0.159046,0.019352,0.043720,0.008533,0.052073,0.009410,0.011849,0.007115,18.39,3.331,4.99e-04,203
2,0.051306,0.006713,0.014116,0.002245,0.059310,0.006484,0.012225,0.016152,19.94,2.727,4.95e-04,380
3,0.029898,0.003941,0.008249,0.001209,0.044822,0.005410,0.009391,0.011238,17.18,2.611,4.88e-04,554
4,0.027366,0.003339,0.007657,0.001056,0.040616,0.005571,0.007207,0.013424,15.13,2.727,4.79e-04,728
5,0.024357,0.002784,0.006887,0.000912,0.036300,0.005042,0.006164,0.012766,13.78,2.458,4.67e-04,907
6,0.023308,0.002539,0.006620,0.000911,0.034185,0.007135,0.004775,0.012725,11.56,3.022,4.53e-04,1093
7,0.022618,0.002272,0.006512,0.000809,0.033721,0.006602,0.005892,0.009443,12.67,2.855,4.36e-04,1280
8,0.022342,0.002023,0.006530,0.000728,0.043289,0.004041,0.008424,0.013976,16.60,2.163,4.18e-04,1469
9,0.024602,0.002139,0.007214,0.000822,0.044737,0.003325,0.010081,0.011169,17.70,1.923,3.98e-04,1656
10,0.022125,0.001829,0.006535,0.000691,0.034825,0.004521,0.005815,0.012861,13.49,2.351,3.76e-04,1843
11,0.020590,0.001678,0.006085,0.000656,0.029494,0.005375,0.004710,0.009989,11.41,2.560,3.53e-04,2029
12,0.021510,0.001664,0.006388,0.000684,0.038248,0.004104,0.007264,0.012352,14.88,2.272,3.29e-04,2218
13,0.019546,0.001498,0.005825,0.000574,0.036693,0.004296,0.006918,0.011643,14.42,2.309,3.04e-04,2406
14,0.020165,0.001460,0.006036,0.000596,0.027622,0.004279,0.004582,0.009596,11.32,2.285,2.78e-04,2594
15,0.019688,0.001415,0.005900,0.000573,0.030142,0.003921,0.005280,0.010380,12.26,2.205,2.53e-04,2780
16,0.018944,0.001340,0.005694,0.000522,0.035545,0.003527,0.006877,0.011388,14.69,2.079,2.27e-04,2968
17,0.018152,0.001243,0.005472,0.000492,0.033136,0.003370,0.006315,0.010821,14.15,2.035,2.01e-04,3156
18,0.018501,0.001246,0.005572,0.000539,0.036774,0.003525,0.007447,0.010907,15.23,2.019,1.76e-04,3346
19,0.018558,0.001191,0.005614,0.000525,0.028738,0.003619,0.005214,0.009476,12.36,2.106,1.52e-04,3533
20,0.018341,0.001163,0.005563,0.000488,0.030579,0.003536,0.005678,0.010008,13.11,2.096,1.29e-04,3719
21,0.018679,0.001130,0.005685,0.000495,0.029168,0.003765,0.005201,0.009801,12.45,2.167,1.07e-04,3919
22,0.018154,0.001101,0.005521,0.000491,0.030137,0.004000,0.005448,0.009792,12.63,2.209,8.69e-05,4102
23,0.017396,0.001051,0.005291,0.000471,0.030766,0.003811,0.005572,0.010240,12.97,2.171,6.86e-05,4295
24,0.017187,0.001023,0.005237,0.000452,0.028586,0.003810,0.004767,0.010475,12.22,2.189,5.23e-05,4486
25,0.016637,0.000990,0.005066,0.000449,0.031930,0.003968,0.005548,0.011316,13.28,2.234,3.82e-05,4678
26,0.016626,0.000981,0.005062,0.000461,0.028127,0.004157,0.004530,0.010379,11.55,2.289,2.64e-05,4869
27,0.016722,0.000957,0.005107,0.000445,0.030562,0.003715,0.005378,0.010711,12.88,2.161,1.71e-05,5061
28,0.016732,0.000952,0.005111,0.000447,0.028348,0.003876,0.004751,0.010219,12.00,2.206,1.04e-05,5252
29,0.016696,0.000949,0.005101,0.000443,0.028788,0.003796,0.004888,0.010330,12.14,2.192,6.36e-06,5442
30,0.016431,0.000941,0.005017,0.000440,0.028216,0.003861,0.004730,0.010163,11.93,2.214,5.00e-06,5632
