epoch,train_loss,train_l_r,train_l_h,train_l_c,val_loss,val_l_r,val_l_h,val_l_c,val_H_MAE_mm,val_r_MAE_mm,lr,elapsed_s
1,0.098616,0.012314,0.028768,0.016662,0.058657,0.008128,0.016843,0.002374,23.36,3.181,4.99e-04,201
2,0.028473,0.003610,0.008288,0.005422,0.015191,0.002379,0.004271,0.001954,10.31,1.559,4.95e-04,396
3,0.022783,0.002429,0.006785,0.003954,0.021161,0.005102,0.005353,0.013111,12.33,2.473,4.88e-04,589
4,0.019540,0.001908,0.005878,0.003033,0.017793,0.004823,0.004323,0.011133,11.12,2.394,4.79e-04,783
5,0.019819,0.001663,0.006052,0.002924,0.019238,0.005036,0.004734,0.011082,12.11,2.514,4.67e-04,977
6,0.020005,0.001469,0.006178,0.003054,0.021990,0.005543,0.005483,0.014505,13.30,2.668,4.53e-04,1167
7,0.020274,0.001341,0.006311,0.003140,0.018656,0.006339,0.004106,0.010981,10.54,2.891,4.36e-04,1340
8,0.019508,0.001216,0.006097,0.003037,0.019771,0.005954,0.004606,0.012315,11.76,2.775,4.18e-04,1513
9,0.020642,0.001122,0.006507,0.003405,0.018915,0.005641,0.004425,0.010651,10.70,2.708,3.98e-04,1686
10,0.020638,0.001051,0.006529,0.003416,0.022300,0.005522,0.005593,0.014598,12.59,2.658,3.76e-04,1871
11,0.021608,0.001012,0.006865,0.003603,0.019641,0.005168,0.004824,0.010903,11.40,2.578,3.53e-04,2058
12,0.020301,0.000933,0.006456,0.003229,0.018612,0.005500,0.004371,0.011376,11.20,2.717,3.29e-04,2245
13,0.021070,0.000880,0.006730,0.003332,0.020718,0.005981,0.004912,0.010626,11.62,2.816,3.04e-04,2431
14,0.021808,0.000834,0.006991,0.003724,0.017042,0.005159,0.003961,0.009174,10.60,2.582,2.78e-04,2616
15,0.020725,0.000787,0.006646,0.003464,0.017163,0.005862,0.003767,0.010154,10.26,2.778,2.53e-04,2802
16,0.019771,0.000738,0.006344,0.003280,0.018352,0.004956,0.004465,0.008839,10.84,2.536,2.27e-04,2989
17,0.020391,0.000724,0.006556,0.003541,0.017843,0.005382,0.004154,0.009317,10.47,2.617,2.01e-04,3176
18,0.020422,0.000672,0.006583,0.003279,0.019661,0.005570,0.004697,0.009012,11.18,2.674,1.76e-04,3359
19,0.020346,0.000648,0.006566,0.003296,0.021432,0.005667,0.005255,0.012818,12.00,2.709,1.52e-04,3547
20,0.020487,0.000624,0.006621,0.003345,0.018331,0.005890,0.004147,0.009806,10.47,2.789,1.29e-04,3733
21,0.019868,0.000591,0.006426,0.003268,0.019020,0.005755,0.004422,0.011026,10.82,2.739,1.07e-04,3920
22,0.020369,0.000571,0.006599,0.003281,0.022180,0.005726,0.005485,0.013325,12.19,2.748,8.69e-05,4105
23,0.019160,0.000556,0.006201,0.003137,0.018440,0.005252,0.004396,0.010289,10.66,2.618,6.86e-05,4290
24,0.019598,0.000534,0.006355,0.003334,0.019014,0.005610,0.004468,0.011025,10.93,2.713,5.23e-05,4479
25,0.019483,0.000522,0.006320,0.003235,0.018494,0.005516,0.004326,0.010586,10.74,2.688,3.82e-05,4666
26,0.019387,0.000508,0.006293,0.003191,0.019152,0.005445,0.004569,0.011462,11.01,2.667,2.64e-05,4852
27,0.019468,0.000491,0.006326,0.003236,0.019996,0.005687,0.004770,0.011709,11.27,2.730,1.71e-05,5051
28,0.019045,0.000492,0.006184,0.003167,0.019575,0.005704,0.004624,0.011851,11.07,2.741,1.04e-05,5245
29,0.019216,0.000484,0.006244,0.003233,0.019122,0.005638,0.004494,0.011753,10.93,2.725,6.36e-06,5435
30,0.018911,0.000480,0.006144,0.003196,0.019474,0.005627,0.004615,0.011975,11.10,2.719,5.00e-06,5623
