epoch,train_loss,train_l_r,train_l_h,train_l_c,val_loss,val_l_r,val_l_h,val_l_c,val_H_MAE_mm,val_r_MAE_mm,lr,elapsed_s
1,0.067108,0.025657,0.009192,0.013875,0.084188,0.016345,0.011657,0.032871,20.52,4.745,1.99e-04,166
2,0.018725,0.009367,0.002111,0.003024,0.164955,0.028731,0.024263,0.063434,29.82,6.599,1.98e-04,329
3,0.012350,0.006932,0.001309,0.001490,0.172628,0.026920,0.027222,0.064042,30.76,6.291,1.95e-04,491
4,0.009622,0.005581,0.000990,0.001072,0.156394,0.022796,0.025199,0.058002,29.13,5.808,1.91e-04,652
5,0.008083,0.004760,0.000814,0.000881,0.163493,0.020939,0.027866,0.058955,31.51,5.521,1.87e-04,814
6,0.007190,0.004223,0.000731,0.000774,0.127900,0.017466,0.020345,0.049399,26.44,5.060,1.81e-04,977
7,0.006368,0.003777,0.000641,0.000667,0.132017,0.019462,0.020354,0.051493,26.53,5.403,1.75e-04,1139
8,0.005829,0.003480,0.000578,0.000615,0.122392,0.017058,0.018695,0.049250,25.24,5.065,1.67e-04,1300
9,0.005413,0.003246,0.000530,0.000579,0.118556,0.017161,0.018391,0.046223,24.95,5.107,1.59e-04,1463
10,0.005021,0.003031,0.000490,0.000521,0.117352,0.017773,0.017690,0.046508,24.55,5.225,1.50e-04,1623
11,0.004729,0.002859,0.000464,0.000477,0.116393,0.015164,0.018599,0.045431,25.37,4.710,1.41e-04,1785
12,0.004398,0.002696,0.000424,0.000430,0.122417,0.015270,0.020037,0.047035,26.42,4.864,1.32e-04,1947
13,0.004200,0.002592,0.000401,0.000405,0.112189,0.014965,0.017276,0.045398,24.59,4.787,1.22e-04,2110
14,0.004003,0.002477,0.000383,0.000376,0.122857,0.015489,0.019838,0.047855,26.39,4.883,1.11e-04,2272
15,0.003813,0.002377,0.000359,0.000359,0.120225,0.015990,0.018998,0.047242,25.83,4.980,1.01e-04,2433
16,0.003659,0.002292,0.000343,0.000337,0.123462,0.015105,0.020120,0.047996,26.89,4.798,9.07e-05,2595
17,0.003517,0.002208,0.000332,0.000312,0.126399,0.015057,0.021070,0.048134,27.36,4.871,8.04e-05,2756
18,0.003406,0.002151,0.000319,0.000297,0.126266,0.015626,0.020588,0.048877,27.22,4.929,7.04e-05,2917
19,0.003273,0.002088,0.000300,0.000286,0.121548,0.016152,0.019165,0.047899,25.95,5.030,6.07e-05,3079
20,0.003182,0.002042,0.000291,0.000268,0.127563,0.015674,0.020935,0.049083,27.33,4.985,5.15e-05,3240
21,0.003085,0.001990,0.000279,0.000258,0.124380,0.015874,0.019978,0.048570,26.87,4.980,4.28e-05,3401
22,0.003010,0.001945,0.000270,0.000254,0.122428,0.015581,0.019701,0.047745,26.46,4.966,3.48e-05,3561
23,0.002925,0.001903,0.000261,0.000238,0.123660,0.015838,0.019834,0.048320,26.40,5.027,2.74e-05,3721
24,0.002880,0.001877,0.000255,0.000237,0.125761,0.015888,0.020369,0.048768,27.11,4.983,2.09e-05,3884
25,0.002828,0.001857,0.000248,0.000227,0.126891,0.015492,0.020838,0.048884,27.38,4.936,1.53e-05,4046
26,0.002779,0.001833,0.000240,0.000226,0.126787,0.016024,0.020481,0.049319,27.17,5.033,1.06e-05,4211
27,0.002741,0.001816,0.000236,0.000216,0.127227,0.015587,0.020874,0.049017,27.45,4.949,6.85e-06,4375
28,0.002717,0.001807,0.000232,0.000214,0.126656,0.015562,0.020738,0.048879,27.31,4.960,4.16e-06,4539
29,0.002690,0.001787,0.000231,0.000210,0.126711,0.015403,0.020810,0.048878,27.41,4.922,2.54e-06,4702
30,0.002685,0.001787,0.000230,0.000208,0.127777,0.015495,0.021053,0.049123,27.58,4.939,2.00e-06,4862
